Sector,Stocks,MarketCap,PE_Trailing,PE_FWD,PEG_FWD,PS_12m,Price_to_Book,Dividend_Yield,EPS_Trailing,EPS_Growth,SalesGrowth,Perf_W,Perf_M,Perf_Q,Perf_HY,Perf_Y,Perf_YTD,Rating_RecommendMean,Volume_AVG,Volume_RELATIVE,PxChange,Volume
Basic Materials,265,2333447.35,12.68,15.57,0.9,1.7,2.34,0.03740,0.29770,0.14120,0.09010,0.00800,0.04760,0.09050,0.01020,0.07510,0.00990,2.21,458908.29,0.91,0.0175,416568601
Communication Services,289,8191924.22,24.71,16.76,1.17,3.86,3.64,0.00720,0.17800,0.21060,0.20450,-0.01970,-0.02920,-0.03110,-0.04080,0.18350,-0.02460,1.89,697553,0.99,0.0131,689195223
Consumer Cyclical,566,8361344.18,30.32,17.7,0.96,1.26,4.12,0.00610,0.27560,0.31540,0.19640,-0.02940,-0.02260,0.02650,-0.00850,0.01980,-0.01500,2.06,1186285.49,0.93,0.0168,1101584102
Consumer Defensive,252,3859638.52,26.96,23.3,2.78,1.47,4.27,0.02250,0.06680,0.09700,0.03800,-0.00950,0.03050,0.07590,0.03090,0.07400,-0.00570,2.23,537820.1,1.21,0.0002,651658333
Energy,281,3270152.86,17.05,9.34,1.47,0.88,1.17,0.04560,-0.10720,0.11570,-0.00210,0.05870,0.09810,0.06580,0.19680,0.34900,0.11330,2.18,671812.79,1.05,0.0325,706829699
Financial,1480,10658499.85,13.62,15.69,1.01,1.78,1.17,0.01720,0.07630,0.13470,0.06810,0.01780,0.05610,0.04950,0.07440,0.22190,0.04830,2.2,898787.08,0.97,0.0121,873011209
Healthcare,1291,8011210.51,28.73,16.87,2.25,2.35,1.17,0.01410,0.09910,0.12780,0.11730,-0.01570,0.00280,0.02170,-0.00610,0.04480,-0.03750,2.05,1677938.39,0.72,0.0075,1205729664
Industrials,632,5205617.41,26.78,19.17,1.73,2.16,1.17,0.01290,0.05010,0.15520,0.03630,-0.01910,-0.00130,0.05070,0.03720,0.14860,-0.00940,2.27,625278.79,0.81,0.0079,506417226
Real Estate,287,1881819.28,31.24,36.98,2.9,6.13,1.17,0.02720,0.06050,0.10760,0.09640,-0.03430,0.00170,0.05280,0.03970,0.26320,-0.04190,2.22,305658.98,0.91,0.0036,279025500
Technology,775,15641513.08,35.27,26.73,1.93,5.83,1.17,0.00710,0.23170,0.18320,0.14310,-0.03350,-0.04310,0.07000,0.06980,0.19900,-0.04000,1.99,1511386.93,0.91,0.0148,1371839050
Utilities,116,1401127.01,25.8,3.14,3.63,2,1.17,0.03240,-0.00570,0.07110,0.02920,-0.02320,0.00390,0.06040,0.05070,0.08070,-0.03540,2.33,134113.56,1.04,-0.0051,140047366
