symbol,CUR_PX,SMA_50,SMA_150,SMA_200,SMA_200_20,HIGH_52WK,LOW_52WK,RS_RATING
ACN,210.5,197.39,192.53,188.44,184.3,212.24,182.74,78.61
AMAT,61.04,57.66,50.71,48.48,46.51,62.37,50.53,94.23
AMD,45.87,38.87,33.51,31.97,30.13,46.64,30.97,97.96
APPS,7.14,7.73,6.48,5.79,5.35,8.87,6.55,99.49
ARWR,63.43,54.49,37.7,33.09,28.6,73.0,35.94,95.25
CBRE,61.26,56.58,53.29,52.42,51.54,61.27,51.72,76.66
DE,173.21,173.32,164.36,162.45,161.47,179.83,163.57,75.55
DHR,153.52,143.69,141.42,138.75,136.23,153.52,133.63,84.3
DOCU,74.12,69.76,59.2,57.98,56.32,75.58,62.82,88.62
EL,206.4,194.84,190.36,184.44,180.17,207.99,181.77,76.66
EPAM,212.21,199.62,189.66,185.03,180.47,215.9,170.0,94.99
FB,205.09,196.92,190.31,187.8,184.41,208.1,182.31,74.53
GE,11.15,10.84,9.93,9.9,9.8,11.6,8.78,98.98
GOOG,1336.72,1311.8,1214.52,1208.89,1190.0,1361.17,1242.93,79.97
GOOGL,1338.12,1311.05,1214.97,1210.42,1192.12,1362.16,1241.18,79.12
GS,229.88,221.15,210.09,207.36,204.57,231.2,206.49,71.56
IRT,14.09,14.54,13.52,12.81,12.45,15.38,13.71,78.18
KEYS,102.61,104.24,95.43,93.01,91.19,109.08,97.05,86.16
KLAC,178.19,170.21,147.43,140.22,134.91,178.74,156.37,94.57
LCII,107.13,104.12,94.14,92.1,89.77,108.7,94.88,67.15
LIN,212.85,204.62,197.68,193.18,189.67,212.85,191.49,63.16
LRCX,292.4,274.53,229.49,219.97,209.7,297.43,232.97,95.59
LSCC,19.14,19.27,18.06,16.75,16.09,20.7,18.01,98.64
LULU,231.67,217.58,196.47,189.46,181.79,233.37,194.44,83.19
MPWR,177.87,163.98,150.55,148.05,144.51,182.89,142.11,92.28
MRVL,26.56,25.76,25.0,24.39,23.85,28.11,23.36,96.1
MSFT,157.49,149.35,140.61,136.3,132.28,158.95,136.39,86.76
MU,53.77,48.81,44.67,43.59,42.51,55.42,43.47,84.72
NEO,29.25,24.93,23.5,22.92,22.11,29.84,19.72,64.69
NXPI,127.35,118.2,106.94,104.39,101.5,129.28,103.16,86.42
PAYC,264.77,243.5,232.72,223.53,215.6,279.88,190.67,84.72
PLD,89.13,89.23,84.66,82.03,80.29,92.4,85.87,77.25
POOL,212.38,207.43,197.71,191.81,186.87,217.46,199.46,88.12
QCOM,88.24,85.75,78.16,76.49,73.36,94.04,77.25,87.1
QQQ,212.58,203.26,193.05,190.76,187.5,213.78,191.68,73.17
QRVO,116.23,102.58,81.63,79.28,75.04,117.97,77.6,74.28
RH,213.24,200.41,159.07,146.3,138.92,241.95,172.63,93.04
ROKU,134.0,143.02,125.31,111.3,104.18,164.27,118.45,97.11
SAIA,93.03,94.8,83.08,78.53,76.01,105.25,86.52,96.26
SEDG,95.08,85.6,76.71,68.81,64.12,95.56,76.36,98.3
SNBR,49.24,48.58,44.11,43.2,42.88,51.25,46.17,73.17
SNPS,139.19,137.21,134.42,130.09,127.01,141.77,131.61,92.53
STX,59.5,58.53,52.02,50.85,49.71,60.38,54.95,85.14
SWKS,120.87,102.66,86.57,85.62,82.64,122.29,87.56,68.85
TER,68.19,64.6,56.31,53.35,50.83,69.62,58.91,95.76
TGT,128.17,119.48,103.27,97.01,92.01,129.19,106.9,89.39
TSLA,418.17,347.23,270.0,265.0,256.26,430.82,253.43,87.27
UPS,117.06,119.06,113.9,112.14,111.4,124.3,114.0,63.84
VICR,46.66,40.08,33.88,33.6,32.59,46.66,30.97,84.72
WST,150.25,147.02,138.5,132.61,128.4,151.14,138.75,93.21
XLK,91.69,87.03,81.83,80.32,78.56,91.93,80.66,79.97
YETI,34.76,31.96,30.28,30.21,29.42,35.04,28.73,95.93
