timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,377.85,383.44,376.615,377.24,377.24,2301776,0,1
2022-01-11,369.92,375.78,364.0,375.11,375.11,1839298,0,1
2022-01-10,363.42,373.37,360.22,372.99,372.99,2407750,0,1
2022-01-07,379.09,379.99,370.14,370.75,370.75,3002433,0,1
2022-01-06,384.69,392.195,375.76,378.01,378.01,3876373,0,1
2022-01-05,403.93,403.97,397.1,397.25,397.25,1956676,0,1
2022-01-04,409.15,411.37,403.2,404.48,404.48,2209238,0,1
2022-01-03,415.87,415.53,405.04,407.29,407.29,1569108,0,1
2021-12-31,413.44,416.95,412.1096,414.62,414.62,726264,0,1
2021-12-30,416.26,416.66,411.88,413.95,413.95,906609,0,1
2021-12-29,414.89,417.37,412.7,415.33,415.33,747115,0,1
2021-12-28,415.0,417.15,413.68,415.27,415.27,1113196,0,1
2021-12-27,406.415,415.95,406.34,415.28,415.28,1407200,0,1
2021-12-23,402.3,406.845,400.96,403.3,403.3,1129945,0,1
2021-12-22,393.24,403.75,393.21,403.69,403.69,1438232,0,1
2021-12-21,388.0,393.15,384.85,392.97,392.97,1645302,0,1
2021-12-20,390.88,391.43,383.52,385.91,385.91,1967305,0,1
2021-12-17,396.36,404.61,391.32,396.61,396.61,3400374,0,1
2021-12-16,414.74,413.65,399.02,399.95,399.95,5279362,0,1
2021-12-15,370.21,375.88,367.29,375.34,375.34,2208442,0,1
2021-12-14,374.38,375.78,366.505,369.78,369.78,1840570,0,1
2021-12-13,379.44,381.15,377.26,378.88,378.88,1243859,0,1
2021-12-10,374.22,379.93,373.0,379.36,379.36,1377192,0,1
2021-12-09,372.8,373.88,370.58,371.47,371.47,1515973,0,1
2021-12-08,371.94,374.86,369.65,374.53,374.53,1762638,0,1
2021-12-07,369.08,373.14,365.975,371.34,371.34,1511915,0,1
2021-12-06,361.99,365.4,358.09,362.48,362.48,1667519,0,1
2021-12-03,369.4,370.76,357.34,361.42,361.42,1891161,0,1
2021-12-02,359.71,368.89,359.71,365.6,365.6,2392383,0,1
2021-12-01,365.27,369.58,359.95,360.14,360.14,2357800,0,1
