timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,154.61,159.75,154.61,159.56,159.56,9170640,0,1
2022-01-11,148.36,152.66,146.37,152.5,152.5,5365015,0,1
2022-01-10,148.0,149.9,143.27,149.57,149.57,8091204,0,1
2022-01-07,155.67,157.38,150.64,150.74,150.74,5434197,0,1
2022-01-06,153.59,157.4,151.84,156.34,156.34,5196610,0,1
2022-01-05,158.1,158.89,153.5,153.7,153.7,5342285,0,1
2022-01-04,159.99,161.84,154.51,158.35,158.35,5757972,0,1
2022-01-03,157.74,160.7781,156.7,159.93,159.93,4508083,0,1
2021-12-31,158.3,159.67,157.04,157.31,157.31,2790955,0,1
2021-12-30,160.84,160.92,157.63,157.95,157.95,3200320,0,1
2021-12-29,159.87,163.02,159.55,160.98,160.98,4024886,0,1
2021-12-28,162.78,162.9917,158.75,159.64,159.64,4759722,0,1
2021-12-27,156.16,162.81,156.03,162.72,162.72,5665460,0,1
2021-12-23,152.94,156.54,152.94,155.49,155.49,3967689,0,1
2021-12-22,150.01,152.44,148.92,152.32,152.32,3590849,0,1
2021-12-21,149.36,151.52,147.02,151.41,151.41,4737723,0,1
2021-12-20,143.69,146.78,143.25,145.04,145.04,3593508,0,1
2021-12-17,145.31,148.98,144.22,146.21,146.21,5310329,0,1
2021-12-16,154.4,155.35,146.26,146.69,146.69,5866201,0,1
2021-12-15,147.95,153.89,145.1601,153.66,153.66,5740088,0,1
2021-12-14,144.98,148.2,144.53,147.75,147.75,4241871,0,1
2021-12-13,154.06,154.4639,146.72,147.04,147.04,3211341,0,1
2021-12-10,156.07,156.89,150.6455,152.79,152.79,3997103,0,1
2021-12-09,155.84,158.3425,152.38,152.64,152.64,4492822,0,1
2021-12-08,156.7,157.86,155.15,157.3,157.3,5379826,0,1
2021-12-07,150.76,157.9967,150.129,156.92,156.92,8095567,0,1
2021-12-06,145.65,148.3614,141.02,147.37,147.37,6500443,0,1
2021-12-03,148.33,150.74,143.33,145.9,145.9,6390798,0,1
2021-12-02,148.0,149.9,143.74,146.49,146.49,8363510,0,1
2021-12-01,151.14,156.58,149.84,151.68,151.68,12748572,0,1
2021-11-30,151.33,151.98,146.46,147.19,147.19,6881921,0,1
2021-11-29,147.07,151.56,145.5,151.22,151.22,7528389,0,1
2021-11-26,145.85,147.18,142.22,143.27,143.27,5752363,0,1
2021-11-24,148.39,149.13,145.81,149.04,149.04,4744734,0,1
2021-11-23,148.85,149.95,145.1,148.92,148.92,6491486,0,1
2021-11-22,151.18,152.98,147.36,147.55,147.55,7891256,0,1
2021-11-19,150.55,156.45,149.74,150.03,150.03,14573473,0,1
2021-11-18,158.35,158.98,154.735,158.74,158.74,6940971,0,1
2021-11-17,157.91,158.51,155.89,155.98,155.98,4552027,0,1
2021-11-16,155.38,159.0,153.55,157.82,157.82,4194630,0,1
2021-11-15,156.77,158.14,155.2,156.34,156.34,4557204,0,1
2021-11-12,154.67,157.41,154.1055,156.82,156.82,4998600,0,1
2021-11-11,151.67,154.18,151.3,153.9,153.9,4491556,0,1
2021-11-10,153.08,155.0,150.27,150.36,150.36,5971252,0,1
2021-11-09,152.92,156.68,151.42,156.29,156.29,6095939,0,1
2021-11-08,154.24,154.89,151.23,152.96,152.96,4624588,0,1
2021-11-05,150.27,153.73,148.79,153.3,153.3,6995099,0,1
2021-11-04,143.45,150.49,142.495,150.14,150.14,8340494,0,1
2021-11-03,141.44,143.35,139.88,142.76,142.76,3449718,0,1
2021-11-02,139.5,141.47,138.89,141.22,141.22,4231562,0,1
2021-11-01,136.98,139.67,136.4183,139.52,139.52,4264959,0,1
2021-10-29,134.79,137.26,134.55,136.65,136.65,4614191,0,1
2021-10-28,134.56,137.85,134.52,136.02,136.02,5552446,0,1
2021-10-27,132.57,134.28,131.41,132.13,132.13,6339682,0,1
2021-10-26,137.38,137.4,131.68,131.97,131.97,6991321,0,1
2021-10-25,136.25,137.92,135.3,135.75,135.75,3415752,0,1
2021-10-22,135.2135,141.56,134.51,135.94,135.94,9392314,0,1
2021-10-21,131.43,133.51,130.51,133.35,133.35,4694397,0,1
2021-10-20,134.12,135.2,133.35,134.04,134.04,3992941,0,1
2021-10-19,133.29,135.34,132.61,134.63,134.63,3209312,0,1
2021-10-18,130.54,133.4,129.8444,133.28,133.28,3159452,0,1
2021-10-15,132.26,132.91,131.245,131.59,131.59,3981571,0,1
2021-10-14,131.97,132.25,129.65,132.08,132.08,6505491,0,1
2021-10-13,128.784,129.4799,127.5,128.24,128.24,4214563,0,1
2021-10-12,128.7579,128.83,124.9365,126.76,126.76,6844438,0,1
2021-10-11,125.645,129.2,125.655,127.5,127.5,4679196,0,1
2021-10-08,128.25,128.785,125.87,126.21,126.21,5392879,0,1
2021-10-07,128.71,129.95,127.46,127.91,127.91,4462465,0,1
2021-10-06,126.3,128.18,125.72,126.56,126.56,6054778,0,1
2021-10-05,127.475,129.2,125.4,128.07,128.07,6012181,0,1
2021-10-04,127.66,127.82,123.17,125.21,125.21,8281793,0,1
2021-10-01,129.26,129.6,126.42,129.1,129.1,4799140,0,1
