timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,382.3,383.86,372.52,376.26,376.26,1207942,0,1
2022-01-11,382.45,383.53,375.74,380.58,380.58,986350,0,1
2022-01-10,381.27,385.89,373.9926,379.87,379.87,1789950,0,1
2022-01-07,376.87,382.0,376.683,378.47,378.47,1479407,0,1
2022-01-06,374.51,378.4312,368.24,376.21,376.21,1388466,0,1
2022-01-05,373.04,386.55,371.7792,372.08,372.08,2701542,0,1
2022-01-04,354.11,373.75,352.71,371.34,371.34,2753053,0,1
2022-01-03,344.0,350.2954,343.99,350.16,350.16,1297561,0,1
2021-12-31,342.33,343.94,341.0574,342.95,342.95,796917,0,1
2021-12-30,346.07,348.05,341.84,342.04,342.04,1221561,0,1
2021-12-29,351.22,349.31,345.5,345.71,345.71,1162801,0,1
2021-12-28,349.28,353.135,348.89,349.91,349.91,596177,0,1
2021-12-27,350.0,351.76,348.45,350.75,350.75,780245,0,1
2021-12-23,348.0,351.49,346.3,349.36,349.36,874848,0,1
2021-12-22,347.8,351.595,343.54,347.15,347.15,1438160,0,1
2021-12-21,342.77,352.515,342.16,349.82,349.82,1335513,0,1
2021-12-20,342.94,343.5,336.32,338.86,338.86,1406076,0,1
2021-12-17,349.3,350.38,341.56,347.03,347.03,2054310,0,1
2021-12-16,349.77,351.77,347.0,348.21,348.21,1321208,0,1
2021-12-15,349.49,350.18,338.02,343.95,343.95,1698310,0,1
2021-12-14,349.88,354.353,346.01,348.69,348.69,1389555,0,1
2021-12-13,356.65,361.465,349.38,351.63,351.63,793408,0,1
2021-12-10,362.86,364.0,357.34,358.36,358.36,1014033,0,1
2021-12-09,359.85,364.31,358.0,362.14,362.14,754105,0,1
2021-12-08,362.275,364.0,357.76,361.24,361.24,851741,0,1
2021-12-07,359.17,366.97,359.15,361.34,361.34,1191372,0,1
2021-12-06,351.52,357.9,350.51,354.54,354.54,1257040,0,1
2021-12-03,352.62,353.035,345.0,349.19,349.19,1149716,0,1
2021-12-02,344.88,354.12,343.46,350.64,350.64,1625955,0,1
2021-12-01,353.62,353.73,341.4,341.55,341.55,1596298,0,1
2021-11-30,345.92,352.2252,341.845,345.28,345.28,1884309,0,1
2021-11-29,365.47,367.0,346.36,347.93,347.93,2267084,0,1
2021-11-26,355.0,361.2999,348.79,358.53,358.53,1805681,0,1
2021-11-24,359.27,374.64,358.83,367.88,367.88,3835069,0,1
2021-11-23,348.98,353.08,344.9,349.935,349.935,1407590,0,1
2021-11-22,346.96,354.6974,343.1101,349.0,349.0,1504443,0,1
2021-11-19,353.73,354.85,345.53,346.17,346.17,1592210,0,1
2021-11-18,364.07,365.72,356.9,357.15,357.15,2005243,0,1
2021-11-17,360.0,360.405,349.2,353.53,353.53,1493305,0,1
2021-11-16,358.5,366.2,358.2,362.03,362.03,907999,0,1
2021-11-15,362.11,363.75,359.64,361.21,361.21,864356,0,1
2021-11-12,357.22,359.15,353.53,358.85,358.85,701077,0,1
2021-11-11,352.71,358.6,352.26,356.01,356.01,639566,0,1
2021-11-10,353.9,355.59,350.14,352.58,352.58,959004,0,1
2021-11-09,362.0,363.17,352.0001,355.81,355.81,1286344,0,1
2021-11-08,360.815,365.45,358.0,360.75,360.75,1261274,0,1
2021-11-05,352.8,358.6799,351.01,355.19,355.19,1266417,0,1
2021-11-04,344.83,350.86,344.32,350.85,350.85,1203385,0,1
2021-11-03,346.15,347.03,335.45,343.06,343.06,2711696,0,1
2021-11-02,360.06,360.06,350.49,355.28,355.28,1090916,0,1
2021-11-01,347.25,365.63,345.78,358.769,358.769,2161964,0,1
2021-10-29,348.5,349.36,340.55,342.26,342.26,1068928,0,1
2021-10-28,339.28,349.79,338.23,349.7,349.7,1688400,0,1
2021-10-27,342.74,346.08,338.02,338.37,338.37,1556745,0,1
2021-10-26,353.36,353.85,341.0,341.12,341.12,1195725,0,1
2021-10-25,340.02,353.75,339.12,352.82,352.82,1394119,0,1
2021-10-22,345.04,346.12,339.68,340.8,340.8,680646,0,1
2021-10-21,343.93,345.07,340.755,342.92,342.92,627956,0,1
2021-10-20,343.65,346.06,341.95,344.15,344.15,800964,0,1
2021-10-19,334.91,343.84,334.1,343.17,343.17,1275175,0,1
2021-10-18,330.69,333.285,328.64,331.93,331.93,885987,0,1
2021-10-15,332.04,336.0,331.67,332.84,332.84,1248862,0,1
2021-10-14,321.51,332.88,320.5,329.65,329.65,2064199,0,1
2021-10-13,332.05,332.88,327.0,328.89,328.89,1540842,0,1
2021-10-12,333.32,334.46,329.86,330.56,330.56,1086256,0,1
2021-10-11,343.02,344.04,332.47,332.59,332.59,948595,0,1
2021-10-08,344.06,345.3372,341.425,343.11,343.11,989470,0,1
2021-10-07,341.23,347.76,340.43,344.1,344.1,959031,0,1
2021-10-06,333.43,338.6,329.67,338.4,338.4,1273295,0,1
2021-10-05,336.8,341.14,332.76,338.14,338.14,1158799,0,1
2021-10-04,340.74,342.56,336.82,338.48,338.48,1107011,0,1
2021-10-01,338.1,344.66,333.65,342.38,342.38,1488822,0,1
2021-09-30,352.45,352.45,334.94,335.13,335.13,1697259,0,1
2021-09-29,355.66,355.65,350.8,351.01,351.01,1046060,0,1
2021-09-28,350.73,356.56,350.47,354.06,354.06,1870257,0,1
2021-09-27,348.78,355.8,348.27,352.51,352.51,1156138,0,1
2021-09-24,349.86,353.37,348.52,349.25,349.25,1065830,0,1
2021-09-23,345.0,352.31,344.96,351.26,351.26,1331110,0,1
2021-09-22,341.65,345.53,339.91,340.85,340.85,1104740,0,1
2021-09-21,341.44,344.9221,333.73,337.13,337.13,1297585,0,1
2021-09-20,340.97,342.37,334.67,339.71,339.71,2076334,0,1
2021-09-17,351.51,354.33,347.97,349.09,349.09,2499846,0,1
2021-09-16,360.3,361.31,353.193,355.42,355.42,1405588,0,1
2021-09-15,355.08,360.83,354.02,359.87,359.87,1099030,0,1
2021-09-14,362.52,362.53,355.02,356.2,356.2,1196415,0,1
2021-09-13,365.98,366.71,356.99,361.63,361.63,1437291,0,1
2021-09-10,367.03,368.46,362.8,363.14,363.14,1063844,0,1
2021-09-09,368.82,371.2363,363.03,364.85,364.85,1581181,0,1
2021-09-08,371.49,372.2915,362.1,370.34,370.34,2148223,0,1
2021-09-07,385.46,387.19,370.26,371.75,371.75,3370349,0,1
2021-09-03,384.73,393.0,384.0,389.25,389.25,1650916,0,1
2021-09-02,379.09,384.99,377.8,384.8,384.8,1106970,0,1
2021-09-01,378.2,379.67,369.19,376.63,376.63,1679976,0,1
