timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,306.38,308.34,303.66,306.38,306.38,1902514,0,1
2022-01-11,306.57,309.095,300.64,305.37,305.37,3063538,0,1
2022-01-10,294.2,303.23,291.0,303.01,303.01,2834724,0,1
2022-01-07,302.81,303.48,293.8,295.54,295.54,2819853,0,1
2022-01-06,304.25,306.3,299.16,303.96,303.96,1675544,0,1
2022-01-05,309.5,310.96,305.24,305.33,305.33,3149634,0,1
2022-01-04,313.15,316.04,305.365,307.22,307.22,3716323,0,1
2022-01-03,327.12,328.57,312.38,315.76,315.76,2958430,0,1
2021-12-31,328.26,331.23,327.39,329.01,329.01,750906,0,1
2021-12-30,326.78,330.46,326.49,328.7,328.7,904943,0,1
2021-12-29,325.42,327.67,323.0201,326.48,326.48,965949,0,1
2021-12-28,326.92,328.59,322.54,323.45,323.45,871020,0,1
2021-12-27,324.73,327.89,322.84,327.59,327.59,831733,0,1
2021-12-23,318.41,322.48,317.64,320.85,320.85,944484,0,1
2021-12-22,315.76,320.685,315.395,319.68,319.68,1497024,0,1
2021-12-21,316.115,316.115,308.44,313.93,313.93,1764325,0,1
2021-12-20,312.91,315.74,306.68,314.4,314.4,1797436,0,1
2021-12-17,317.57,318.29,310.7418,313.1,313.1,3136568,0,1
2021-12-16,315.71,323.13,312.78,318.49,318.49,2820730,0,1
2021-12-15,310.63,315.32,307.88,315.12,315.12,2421635,0,1
2021-12-14,315.85,317.06,303.925,307.78,307.78,2618227,0,1
2021-12-13,318.44,320.14,315.99,318.51,318.51,1360367,0,1
2021-12-10,318.77,323.08,317.18,317.49,317.49,1362381,0,1
2021-12-09,320.42,321.9,316.81,319.42,319.42,1324630,0,1
2021-12-08,313.99,319.63,313.26,318.55,318.55,1492387,0,1
2021-12-07,312.29,316.45,311.83,313.4,313.4,1712875,0,1
2021-12-06,311.28,314.35,304.54,306.94,306.94,2033445,0,1
2021-12-03,319.31,321.87,310.36,312.95,312.95,2362258,0,1
2021-12-02,318.12,322.78,315.0,316.39,316.39,1732038,0,1
2021-12-01,320.3,325.81,315.7631,319.71,319.71,1905004,0,1
2021-11-30,327.84,331.685,319.91,321.5,321.5,2309910,0,1
2021-11-29,323.31,329.445,323.12,326.51,326.51,2528507,0,1
2021-11-26,320.0,331.49,319.95,324.0,324.0,2760267,0,1
2021-11-24,312.85,315.93,310.705,315.45,315.45,1339895,0,1
2021-11-23,310.17,313.97,307.92,313.54,313.54,1495655,0,1
2021-11-22,313.83,317.01,308.8,313.72,313.72,1816930,0,1
2021-11-19,314.88,321.19,313.564,314.14,314.14,1965371,0,1
2021-11-18,310.89,313.48,308.05,312.65,312.65,1559609,0,1
2021-11-17,310.0,310.7,306.51,309.67,309.67,1493078,0,1
2021-11-16,301.17,308.39,299.63,305.76,305.76,2004751,0,1
2021-11-15,304.06,308.295,299.12,299.69,299.69,2340746,0,1
2021-11-12,305.5,307.44,301.945,304.38,304.38,2025307,0,1
2021-11-11,303.72,306.1114,302.18,304.545,304.545,1967289,0,1
2021-11-10,297.55,302.66,297.55,302.04,302.04,1769088,0,1
2021-11-09,302.16,302.65,297.36,299.19,299.19,1525979,0,1
2021-11-08,293.55,301.95,293.35,301.34,301.34,2654689,0,1
2021-11-05,294.97,295.56,282.51,292.16,292.16,6031516,0,1
2021-11-04,310.92,311.52,303.52,306.1,306.1,2999815,0,1
2021-11-03,314.65,314.65,303.75,310.89,310.89,2563822,0,1
2021-11-02,310.33,314.83,308.85,313.3,313.3,2239723,0,1
2021-11-01,312.9,314.98,308.2,309.64,309.64,1318622,0,1
2021-10-29,304.68,312.0,302.68,311.76,311.76,2045823,0,1
2021-10-28,305.75,307.98,303.31,304.6,304.6,2109487,0,1
2021-10-27,308.46,310.28,304.44,305.22,305.22,1429241,0,1
2021-10-26,307.57,309.72,305.64,306.83,306.83,1083195,0,1
2021-10-25,312.48,313.72,305.27,306.25,306.25,1845096,0,1
2021-10-22,311.12,314.15,309.47,313.29,313.29,1715468,0,1
2021-10-21,314.5,314.5,302.0,310.72,310.72,2583620,0,1
2021-10-20,311.21,315.63,311.0,314.7,314.7,2090071,0,1
2021-10-19,306.31,310.4,305.74,308.46,308.46,1399747,0,1
2021-10-18,301.11,305.51,299.4,304.19,304.19,1263328,0,1
2021-10-15,301.13,302.66,300.33,301.25,301.25,2562050,0,1
2021-10-14,298.56,303.7,298.56,300.38,300.38,2236548,0,1
2021-10-13,298.77,299.14,294.73,295.86,295.86,2381538,0,1
2021-10-12,300.56,300.56,293.54,296.82,296.82,2241457,0,1
2021-10-11,299.3,302.48,297.55,298.74,298.74,749124,0,1
2021-10-08,302.93,304.03,299.07,299.95,299.95,795447,0,1
2021-10-07,302.79,306.62,302.58,302.62,302.62,1221097,0,1
2021-10-06,298.82,300.62,295.37,300.6,300.6,1314055,0,1
2021-10-05,301.75,303.7066,299.41,299.41,299.41,1407434,0,1
2021-10-04,301.74,303.6,297.13,298.56,298.56,1818905,0,1
2021-10-01,306.98,306.98,290.06,302.53,302.53,2020015,0,1
2021-09-30,308.45,311.18,304.18,304.24,304.24,2095585,0,1
2021-09-29,305.72,309.21,305.22,306.61,306.61,1813929,0,1
2021-09-28,308.92,311.55,300.97,303.91,303.91,3377868,0,1
2021-09-27,324.26,324.26,313.56,315.99,315.99,1603176,0,1
2021-09-24,324.94,326.12,322.23,324.48,324.48,1090427,0,1
2021-09-23,325.15,327.085,323.22,324.93,324.93,1750944,0,1
2021-09-22,325.9,326.22,323.18,324.01,324.01,1284563,0,1
2021-09-21,325.0,327.4299,323.95,324.71,324.71,1674185,0,1
2021-09-20,320.01,325.69,320.01,323.9,323.9,2490848,0,1
2021-09-17,324.78,329.18,321.82,324.54,324.54,2053640,0,1
2021-09-16,325.86,326.71,321.61,323.94,323.94,1591962,0,1
2021-09-15,322.8,328.49,317.3597,325.29,325.29,1455458,0,1
2021-09-14,323.87,326.94,322.14,324.23,324.23,1487763,0,1
2021-09-13,331.0,331.505,316.35,321.54,321.54,1773026,0,1
2021-09-10,330.93,333.96,329.87,329.89,329.89,1968502,0,1
