timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,343.97,349.45,342.35,345.61,345.61,1086269,0,1
2022-01-11,336.0,340.95,331.57,340.76,340.76,840133,0,1
2022-01-10,349.5,349.6,333.36,336.06,336.06,1654874,0,1
2022-01-07,355.0,357.455,350.07,354.96,354.96,736709,0,1
2022-01-06,357.0,357.57,353.0,355.29,355.29,849203,0,1
2022-01-05,367.0,368.66,356.1,356.11,356.11,1755889,0,1
2022-01-04,372.11,373.98,368.14,371.8,371.8,732283,0,1
2022-01-03,368.49,374.2,366.91,370.29,370.29,784135,0,1
2021-12-31,367.66,371.33,367.45,370.3,370.3,407856,0,1
2021-12-30,370.0,372.36,367.1,367.39,367.39,407913,0,1
2021-12-29,367.8,371.73,367.4,370.09,370.09,475818,0,1
2021-12-28,369.94,370.825,367.59,368.02,368.02,428117,0,1
2021-12-27,366.0,369.79,366.0,369.28,369.28,470444,0,1
2021-12-23,361.9,367.95,361.9,365.88,365.88,666407,0,1
2021-12-22,353.31,361.905,353.25,361.78,361.78,692892,0,1
2021-12-21,348.98,353.91,347.3,352.78,352.78,814658,0,1
2021-12-20,342.2,346.15,340.14,345.48,345.48,827709,0,1
2021-12-17,360.16,361.73,343.45,345.92,345.92,1942623,0,1
2021-12-16,366.72,369.24,360.22,362.73,362.73,1225181,0,1
2021-12-15,356.25,365.33,355.05,365.27,365.27,886414,0,1
2021-12-14,357.68,358.0,352.87,356.83,356.83,887787,0,1
2021-12-13,360.19,362.47,357.94,360.44,360.44,412685,0,1
2021-12-10,359.18,362.7,355.31,361.39,361.39,671652,0,1
2021-12-09,355.38,361.02,355.17,355.83,355.83,822689,0,1
2021-12-08,353.6,357.0,351.23,355.96,355.96,760212,0,1
2021-12-07,347.25,357.7414,347.25,353.6,353.6,1105974,0,1
2021-12-06,337.58,343.705,337.33,341.59,341.59,870060,0,1
2021-12-03,339.3,347.35,330.19,335.3,335.3,1190853,0,1
2021-12-02,327.66,336.51,326.51,334.75,334.75,893446,0,1
2021-12-01,335.0,337.09,325.1,325.37,325.37,1117172,0,1
2021-11-30,339.88,338.48,331.15,332.28,332.28,1442807,0,1
2021-11-29,336.89,342.4,334.48,340.0,340.0,1456857,0,1
2021-11-26,341.48,345.84,334.08,334.42,334.42,1242021,0,1
2021-11-24,348.41,350.58,346.75,349.25,349.25,744415,0,1
2021-11-23,349.13,351.11,346.09,349.7,349.7,977585,0,1
2021-11-22,353.99,357.82,350.26,350.28,350.28,898590,0,1
2021-11-19,350.35,354.93,346.25,352.85,352.85,1348006,0,1
2021-11-18,347.97,348.5,342.04,347.31,347.31,1504273,0,1
2021-11-17,352.85,356.51,348.8,354.55,354.55,929626,0,1
2021-11-16,347.95,351.82,347.191,350.48,350.48,656338,0,1
2021-11-15,347.11,350.68,346.61,348.07,348.07,898182,0,1
2021-11-12,346.25,346.85,343.53,346.73,346.73,634120,0,1
