timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,566.0,581.5617,565.48,571.42,571.42,546026,0,1
2022-01-11,547.32,560.71,545.51,559.52,559.52,342010,0,1
2022-01-10,543.84,545.86,531.04,545.86,545.86,901883,0,1
2022-01-07,578.93,584.69,555.01,556.69,556.69,384713,0,1
2022-01-06,579.45,590.81,570.48,579.04,579.04,542132,0,1
2022-01-05,605.85,625.46,587.41,587.91,587.91,503796,0,1
2022-01-04,645.0,646.16,607.95,618.6,618.6,382374,0,1
2022-01-03,670.32,675.34,638.12,642.36,642.36,364921,0,1
2021-12-31,671.42,676.93,666.81,668.29,668.29,164240,0,1
2021-12-30,680.19,684.3,671.57,673.51,673.51,248238,0,1
2021-12-29,681.5,689.98,677.77,678.37,678.37,185581,0,1
2021-12-28,697.32,697.32,677.435,681.68,681.68,236726,0,1
2021-12-27,669.55,699.12,669.47,697.0,697.0,255850,0,1
2021-12-23,658.26,665.415,656.65,663.29,663.29,199589,0,1
2021-12-22,649.03,662.61,646.07,660.51,660.51,271962,0,1
2021-12-21,626.93,649.0,620.81,648.99,648.99,258284,0,1
2021-12-20,626.65,636.965,619.05,623.46,623.46,336331,0,1
2021-12-17,627.99,641.965,618.32,636.39,636.39,566067,0,1
2021-12-16,655.5,669.86,628.245,635.9,635.9,599036,0,1
2021-12-15,661.5,668.88,625.39,649.01,649.01,1020745,0,1
2021-12-14,676.77,679.32,642.2,663.13,663.13,1491472,0,1
2021-12-13,698.0,709.99,666.04,683.4,683.4,1182298,0,1
2021-12-10,698.87,710.59,689.565,697.72,697.72,1155853,0,1
2021-12-09,708.0,719.5599,694.1545,700.79,700.79,1692157,0,1
2021-12-08,648.87,704.7199,643.33,700.42,700.42,3604562,0,1
2021-12-07,597.21,601.5863,589.555,594.88,594.88,393927,0,1
2021-12-06,587.79,588.415,566.63,572.75,572.75,463972,0,1
2021-12-03,624.07,624.07,584.5,596.73,596.73,311641,0,1
2021-12-02,591.68,622.47,590.77,620.51,620.51,210780,0,1
2021-12-01,618.35,624.5,595.0,596.02,596.02,209567,0,1
2021-11-30,633.99,641.37,605.63,608.53,608.53,260613,0,1
2021-11-29,618.83,642.99,610.86,633.21,633.21,289659,0,1
2021-11-26,614.57,629.8899,607.7,609.93,609.93,95970,0,1
2021-11-24,595.61,622.68,593.78,620.35,620.35,229159,0,1
2021-11-23,628.0,626.47,595.57,601.96,601.96,443152,0,1
2021-11-22,665.16,670.07,610.96,614.45,614.45,302566,0,1
2021-11-19,667.49,670.83,658.48,664.78,664.78,137233,0,1
2021-11-18,665.27,669.25,658.45,664.16,664.16,110349,0,1
2021-11-17,675.0,675.01,663.04,665.08,665.08,150945,0,1
2021-11-16,658.0,674.3,657.76,671.01,671.01,260751,0,1
2021-11-15,672.0,675.8699,654.78,660.68,660.68,205468,0,1
2021-11-12,675.64,678.99,664.015,671.56,671.56,446044,0,1
2021-11-11,684.3,690.0,667.19,667.81,667.81,400518,0,1
2021-11-10,705.0,706.915,668.97,675.0,675.0,247441,0,1
2021-11-09,715.0,722.12,711.65,717.19,717.19,223933,0,1
2021-11-08,706.15,722.75,699.27,717.49,717.49,150873,0,1
2021-11-05,725.4,725.4,703.78,704.6,704.6,179587,0,1
2021-11-04,689.71,718.175,679.0,716.98,716.98,325490,0,1
2021-11-03,679.09,680.0,654.06,678.96,678.96,343034,0,1
2021-11-02,658.72,675.85,656.295,674.33,674.33,157703,0,1
2021-11-01,675.13,675.13,652.77,659.65,659.65,152818,0,1
2021-10-29,662.97,674.81,660.5,673.24,673.24,180692,0,1
2021-10-28,659.01,672.12,656.515,671.78,671.78,192133,0,1
2021-10-27,651.83,659.47,646.3,652.92,652.92,172803,0,1
2021-10-26,658.03,658.03,644.07,652.7,652.7,154707,0,1
2021-10-25,650.0,656.46,645.64,652.87,652.87,94489,0,1
2021-10-22,644.04,649.5,640.455,648.28,648.28,85541,0,1
2021-10-21,630.52,643.64,625.54,642.34,642.34,121910,0,1
2021-10-20,638.52,638.52,625.0,627.69,627.69,169473,0,1
2021-10-19,636.58,644.89,633.25,634.63,634.63,154598,0,1
2021-10-18,619.31,633.67,616.5,633.1,633.1,128083,0,1
2021-10-15,614.3,619.33,611.13,619.33,619.33,148712,0,1
2021-10-14,603.61,616.8486,601.7,610.5,610.5,159745,0,1
2021-10-13,591.75,596.64,585.0,596.64,596.64,159951,0,1
2021-10-12,580.84,587.67,575.21,582.67,582.67,70900,0,1
2021-10-11,581.46,584.51,575.88,576.49,576.49,168337,0,1
2021-10-08,596.23,599.99,585.3,586.75,586.75,174900,0,1
2021-10-07,586.86,600.0,586.86,594.52,594.52,288717,0,1
2021-10-06,573.03,582.12,566.52,582.12,582.12,131102,0,1
2021-10-05,567.85,581.51,566.35,577.64,577.64,217275,0,1
2021-10-04,570.0,570.0,552.08,563.79,563.79,230014,0,1
2021-10-01,574.08,578.695,561.81,575.43,575.43,127889,0,1
2021-09-30,572.52,580.74,570.03,570.48,570.48,251330,0,1
2021-09-29,574.91,578.49,566.01,570.33,570.33,314406,0,1
2021-09-28,587.0,588.0,567.59,567.89,567.89,427269,0,1
2021-09-27,621.13,627.09,593.28,597.78,597.78,294423,0,1
2021-09-24,624.45,629.59,620.09,629.59,629.59,136071,0,1
2021-09-23,627.33,631.0614,620.0001,629.37,629.37,197824,0,1
2021-09-22,616.0,623.585,607.94,621.03,621.03,151934,0,1
2021-09-21,611.72,616.93,606.82,614.01,614.01,164208,0,1
2021-09-20,602.65,610.31,597.97,605.21,605.21,269273,0,1
2021-09-17,624.0,624.245,606.49,613.79,613.79,280116,0,1
2021-09-16,621.45,627.37,615.44,627.37,627.37,333965,0,1
2021-09-15,623.34,627.36,615.74,623.82,623.82,282079,0,1
2021-09-14,621.63,633.5747,618.2101,622.49,622.49,286732,0,1
2021-09-13,628.33,628.33,608.34,617.5,617.5,354984,0,1
2021-09-10,634.91,642.55,627.01,627.01,627.01,199835,0,1
2021-09-09,629.15,634.85,626.265,626.9,626.9,227426,0,1
2021-09-08,631.87,633.51,626.02,629.76,629.76,217557,0,1
2021-09-07,646.11,648.72,626.61,626.61,626.61,211562,0,1
2021-09-03,632.88,644.14,630.23,643.22,643.22,137254,0,1
2021-09-02,633.41,636.729,626.01,633.07,633.07,200327,0,1
2021-09-01,636.0,635.92,627.26,631.71,631.71,228346,0,1
2021-08-31,638.62,638.62,628.05,632.9,632.9,226074,0,1
2021-08-30,634.5,638.59,631.15,636.58,636.58,182435,0,1
2021-08-27,627.57,636.77,626.08,629.1,629.1,206207,0,1
2021-08-26,620.0,626.6373,610.055,622.33,622.33,358140,0,1
2021-08-25,631.49,635.81,617.0,619.99,619.99,434913,0,1
2021-08-24,628.23,634.735,623.38,633.31,633.31,436183,0,1
2021-08-23,633.48,642.625,626.59,626.59,626.59,312601,0,1
2021-08-20,621.31,634.2,621.31,629.9,629.9,216338,0,1
2021-08-19,617.9,625.21,616.0247,619.29,619.29,282438,0,1
2021-08-18,620.35,628.0,619.19,621.49,621.49,211779,0,1
2021-08-17,617.0,622.44,612.2729,620.32,620.32,167706,0,1
2021-08-16,608.01,618.98,599.6,618.97,618.97,211525,0,1
2021-08-13,602.0,613.5688,601.305,607.64,607.64,257156,0,1
2021-08-12,598.0,607.635,596.055,601.88,601.88,383444,0,1
2021-08-11,605.01,608.015,598.1,600.0,600.0,252836,0,1
2021-08-10,608.52,618.57,603.12,604.22,604.22,197915,0,1
2021-08-09,599.19,609.042,596.26,608.76,608.76,253798,0,1
2021-08-06,588.86,598.46,581.95,598.46,598.46,291905,0,1
2021-08-05,615.0,601.805,583.87,589.98,589.98,305957,0,1
2021-08-04,569.4,576.45,568.75,569.09,569.09,171975,0,1
2021-08-03,570.37,571.35,563.64,571.28,571.28,118976,0,1
2021-08-02,563.52,565.32,556.85,558.4,558.4,103626,0,1
2021-07-30,554.5,563.89,551.34,560.0,560.0,97336,0,1
2021-07-29,555.08,562.98,555.08,555.6401,555.6401,132389,0,1
2021-07-28,556.98,558.27,551.09,553.02,553.02,161121,0,1
2021-07-27,552.35,553.87,541.41,553.86,553.86,147335,0,1
2021-07-26,557.75,559.75,550.64,553.68,553.68,163561,0,1
2021-07-23,554.67,561.46,554.67,557.8,557.8,142103,0,1
2021-07-22,550.25,553.1,547.03,552.54,552.54,119487,0,1
2021-07-21,544.06,549.98,542.01,548.58,548.58,161958,0,1
2021-07-20,540.05,550.07,538.78,545.6,545.6,136076,0,1
2021-07-19,522.05,535.58,518.0096,535.1,535.1,198791,0,1
2021-07-16,540.0,541.993,527.62,527.64,527.64,210406,0,1
2021-07-15,543.36,545.4,534.95,538.44,538.44,118973,0,1
2021-07-14,540.01,544.12,538.0,541.5,541.5,215959,0,1
2021-07-13,531.99,539.98,530.06,536.29,536.29,171011,0,1
2021-07-12,536.82,542.76,530.23,534.63,534.63,247738,0,1
2021-07-09,516.0,527.83,514.3,527.83,527.83,222580,0,1
2021-07-08,516.43,521.485,512.62,515.05,515.05,164602,0,1
2021-07-07,522.0,528.725,516.08,527.06,527.06,238486,0,1
2021-07-06,519.0,520.82,516.06,519.65,519.65,208781,0,1
2021-07-02,512.45,516.74,511.04,516.74,516.74,117322,0,1
2021-07-01,510.43,514.44,507.8,510.51,510.51,184680,0,1
2021-06-30,516.82,516.82,510.51,510.76,510.76,186947,0,1
2021-06-29,519.0,520.24,516.815,519.22,519.22,332170,0,1
2021-06-28,525.21,527.04,519.53,521.01,521.01,157333,0,1
2021-06-25,518.33,525.0,509.75,523.15,523.15,383933,0,1
2021-06-24,519.25,523.13,515.37,518.53,518.53,273251,0,1
2021-06-23,520.0,520.58,515.49,515.99,515.99,255721,0,1
2021-06-22,517.23,520.22,515.42,519.53,519.53,163371,0,1
2021-06-21,510.6,520.51,506.26,518.3,518.3,110073,0,1
2021-06-18,514.48,521.86,510.21,510.51,510.51,253376,0,1
2021-06-17,501.68,514.985,500.62,514.73,514.73,210448,0,1
2021-06-16,504.98,507.03,499.13,504.19,504.19,190394,0,1
2021-06-15,509.44,509.89,498.6,500.94,500.94,294594,0,1
2021-06-14,506.85,513.6,506.81,508.0,508.0,289807,0,1
2021-06-11,504.27,510.46,501.6401,508.43,508.43,226534,0,1
2021-06-10,493.56,506.8099,493.56,505.31,505.31,219713,0,1
2021-06-09,490.31,495.73,488.4,492.98,492.98,273391,0,1
2021-06-08,489.09,492.78,483.46,489.41,489.41,208724,0,1
2021-06-07,483.94,489.0,481.23,488.19,488.19,328214,0,1
2021-06-04,480.72,484.54,478.515,482.16,482.16,213134,0,1
2021-06-03,476.57,480.9899,474.05,474.98,474.98,282237,0,1
2021-06-02,481.86,485.02,479.71,481.16,481.16,292713,0,1
2021-06-01,490.62,490.62,470.775,478.78,478.78,310048,0,1
2021-05-28,473.95,482.378,472.4,477.6,477.6,149009,0,1
2021-05-27,475.53,480.1,469.02,471.97,471.97,297580,0,1
2021-05-26,481.75,481.97,475.8,477.84,477.84,392824,0,1
2021-05-25,485.0,486.2,477.57,479.37,479.37,397664,0,1
2021-05-24,480.0,485.91,477.45,484.06,484.06,282213,0,1
2021-05-21,476.08,480.87,471.48,477.23,477.23,294416,0,1
2021-05-20,453.68,474.37,452.66,472.17,472.17,475794,0,1
2021-05-19,443.55,451.97,436.43,451.53,451.53,304595,0,1
2021-05-18,450.5,450.66,445.93,446.48,446.48,236818,0,1
2021-05-17,448.48,451.53,443.22,447.725,447.725,248356,0,1
2021-05-14,450.97,452.65,446.5,451.32,451.32,393838,0,1
2021-05-13,445.69,450.7,442.5,446.54,446.54,207710,0,1
2021-05-12,447.41,448.745,440.24,441.49,441.49,329234,0,1
2021-05-11,451.69,454.33,436.18,454.08,454.08,502072,0,1
2021-05-10,459.24,466.97,454.555,460.02,460.02,252613,0,1
2021-05-07,465.0,466.21,458.3666,460.04,460.04,385668,0,1
2021-05-06,452.48,458.56,433.9163,458.43,458.43,432159,0,1
2021-05-05,462.28,463.625,458.45,461.5,461.5,253043,0,1
2021-05-04,455.61,459.77,453.415,459.16,459.16,496925,0,1
2021-05-03,461.0,462.83,457.5301,459.82,459.82,371206,0,1
