timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,403.24,404.12,388.56,390.4,390.4,3738186,0,1
2022-01-11,400.32,403.34,396.31,403.1,403.1,1362549,0,1
2022-01-10,402.36,404.37,394.215,399.17,399.17,2553769,0,1
2022-01-07,397.67,400.55,394.53,397.51,397.51,1897335,0,1
2022-01-06,401.0,401.2,386.4332,396.95,396.95,2611018,0,1
2022-01-05,408.62,412.6599,397.89,398.7,398.7,2827165,0,1
2022-01-04,402.23,410.28,401.18,407.42,407.42,3449627,0,1
2022-01-03,389.0,399.3,387.34,395.3,395.3,2920293,0,1
2021-12-31,385.0,387.0,380.835,382.58,382.58,1343381,0,1
2021-12-30,388.44,389.7799,385.195,385.64,385.64,1027499,0,1
2021-12-29,388.46,389.46,384.42,386.44,386.44,1122695,0,1
2021-12-28,388.19,391.3328,386.235,387.78,387.78,1098717,0,1
2021-12-27,386.99,389.11,385.0001,388.04,388.04,1248416,0,1
2021-12-23,384.73,387.61,383.57,384.95,384.95,1454672,0,1
2021-12-22,380.42,384.005,379.265,382.33,382.33,1154210,0,1
2021-12-21,376.43,382.085,374.76,380.3,380.3,2466628,0,1
2021-12-20,375.52,375.625,366.65,371.62,371.62,3164523,0,1
2021-12-17,389.21,393.67,380.63,381.81,381.81,4485528,0,1
2021-12-16,395.13,399.84,391.8001,396.97,396.97,2829676,0,1
2021-12-15,389.5,391.4,380.598,389.79,389.79,2473591,0,1
2021-12-14,384.24,392.5,383.26,389.02,389.02,2020540,0,1
2021-12-13,389.52,391.19,382.66,384.87,384.87,1304902,0,1
2021-12-10,398.0,398.86,388.66,390.88,390.88,1639507,0,1
2021-12-09,396.12,400.1899,393.0,396.59,396.59,1483725,0,1
2021-12-08,401.33,401.71,395.14,397.04,397.04,1191242,0,1
2021-12-07,393.58,401.75,393.06,400.18,400.18,1969111,0,1
2021-12-06,388.97,393.5999,383.49,389.4,389.4,1746146,0,1
2021-12-03,389.88,389.88,379.03,382.39,382.39,2179440,0,1
2021-12-02,378.0,389.09,376.03,387.62,387.62,2608536,0,1
2021-12-01,383.06,390.16,376.21,376.54,376.54,2172365,0,1
2021-11-30,383.53,386.83,377.26,380.99,380.99,2957646,0,1
2021-11-29,394.0,396.37,382.45,386.26,386.26,2433994,0,1
2021-11-26,385.63,391.71,382.715,388.98,388.98,2348063,0,1
2021-11-24,405.0,407.48,398.3,399.3,399.3,1784401,0,1
2021-11-23,400.25,406.9559,397.51,406.32,406.32,2135090,0,1
2021-11-22,393.16,402.49,390.18,395.99,395.99,2590526,0,1
2021-11-19,382.38,390.24,381.04,387.24,387.24,2358168,0,1
2021-11-18,392.3,393.9202,385.68,391.33,391.33,1588202,0,1
2021-11-17,401.85,402.65,391.47,391.54,391.54,2580876,0,1
2021-11-16,404.0,405.84,399.0,402.99,402.99,1103006,0,1
2021-11-15,406.0,407.34,403.9149,404.68,404.68,1045027,0,1
2021-11-12,403.0,405.1,399.2,404.74,404.74,1197759,0,1
2021-11-11,400.14,403.76,398.51,402.2,402.2,1086700,0,1
2021-11-10,402.33,405.55,397.245,399.11,399.11,1730664,0,1
2021-11-09,406.11,407.584,400.06,405.35,405.35,1874628,0,1
2021-11-08,409.89,413.65,407.96,408.48,408.48,1393974,0,1
2021-11-05,411.4,414.45,406.1,407.18,407.18,1636767,0,1
2021-11-04,414.65,415.99,403.028,407.98,407.98,3314021,0,1
2021-11-03,423.115,424.0,412.56,417.81,417.81,3140170,0,1
2021-11-02,416.6,426.1582,412.79,423.83,423.83,2700174,0,1
2021-11-01,417.07,418.73,413.248,416.67,416.67,1366354,0,1
2021-10-29,414.02,415.96,411.18,413.54,413.54,1478422,0,1
2021-10-28,412.0,414.92,409.06,414.63,414.63,1153238,0,1
2021-10-27,416.55,418.06,410.55,411.06,411.06,1691190,0,1
2021-10-26,416.95,419.81,413.76,417.73,417.73,1504468,0,1
2021-10-25,416.21,419.49,413.27,414.88,414.88,1520879,0,1
2021-10-22,409.21,415.36,409.1,414.32,414.32,2039462,0,1
2021-10-21,406.8,412.66,404.615,407.47,407.47,1868499,0,1
2021-10-20,411.0,414.33,406.195,408.08,408.08,2170766,0,1
2021-10-19,415.18,415.85,409.69,412.14,412.14,2244716,0,1
2021-10-18,408.01,415.94,407.6,413.6,413.6,3426668,0,1
2021-10-15,402.32,407.272,396.34,406.37,406.37,5613098,0,1
2021-10-14,392.0,393.66,382.2,390.99,390.99,2925933,0,1
2021-10-13,388.0,388.3809,378.625,386.31,386.31,1729452,0,1
2021-10-12,385.09,388.59,381.02,386.46,386.46,1785746,0,1
2021-10-11,392.9,396.95,385.02,385.21,385.21,1616537,0,1
2021-10-08,390.83,394.31,388.18,392.89,392.89,1273715,0,1
2021-10-07,393.71,397.85,389.76,390.79,390.79,1955131,0,1
2021-10-06,382.38,389.55,378.66,388.1,388.1,1860435,0,1
2021-10-05,377.0,388.22,375.5,385.85,385.85,2138397,0,1
2021-10-04,380.21,386.87,372.82,373.98,373.98,2541908,0,1
2021-10-01,379.44,382.72,375.845,380.0,380.0,2071258,0,1
2021-09-30,388.0,388.02,376.62,377.81,377.81,2319747,0,1
2021-09-29,390.68,392.39,384.3,384.96,384.96,1727181,0,1
2021-09-28,400.6,404.21,388.39,389.575,389.575,2292027,0,1
2021-09-27,396.58,401.0,394.78,399.7,399.7,2596715,0,1
2021-09-24,390.47,392.49,388.6,390.93,390.93,1603331,0,1
2021-09-23,390.39,393.74,388.18,391.86,391.86,2257192,0,1
2021-09-22,380.8,389.29,379.71,385.28,385.28,2634707,0,1
2021-09-21,380.85,381.5,374.08,375.82,375.82,2064746,0,1
2021-09-20,377.82,380.86,372.5,378.12,378.12,3085672,0,1
2021-09-17,397.01,399.16,388.83,391.41,391.41,2702551,0,1
2021-09-16,404.52,405.98,394.89,396.64,396.64,2276069,0,1
2021-09-15,398.0,403.61,396.21,402.0,402.0,2802928,0,1
2021-09-14,412.3,417.01,402.78,404.0,404.0,2908165,0,1
2021-09-13,407.41,409.37,403.8,409.32,409.32,1511661,0,1
2021-09-10,407.88,409.79,403.16,403.57,403.57,1762611,0,1
2021-09-09,405.12,408.8799,403.51,404.69,404.69,2164001,0,1
2021-09-08,409.22,410.98,404.7,405.0,405.0,1324899,0,1
2021-09-07,411.0,414.73,409.64,410.34,410.34,1386363,0,1
2021-09-03,414.5,415.1199,410.6,411.33,411.33,1184814,0,1
2021-09-02,414.75,417.5786,412.64,414.45,414.45,1354608,0,1
2021-09-01,413.16,416.11,410.31,413.61,413.61,1457675,0,1
2021-08-31,412.11,414.86,408.76,413.41,413.41,1426313,0,1
2021-08-30,420.1,420.7599,412.715,413.62,413.62,1865652,0,1
2021-08-27,412.78,419.85,412.5,419.7,419.7,1851150,0,1
2021-08-26,415.45,420.7297,411.1617,412.39,412.39,1895943,0,1
2021-08-25,409.9,416.68,408.94,413.08,413.08,1630243,0,1
2021-08-24,403.59,409.66,402.7,408.65,408.65,1709742,0,1
2021-08-23,401.89,404.1,399.0,401.44,401.44,1470748,0,1
