timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,23.93,24.4,23.86,23.93,23.93,2204889,0,1
2022-01-11,24.18,24.18,23.68,23.95,23.95,2135514,0,1
2022-01-10,23.73,24.25,23.58,24.22,24.22,2931299,0,1
2022-01-07,24.185,24.185,23.55,23.75,23.75,2918934,0,1
2022-01-06,24.0,24.43,23.9,24.13,24.13,2559217,0,1
2022-01-05,24.75,24.85,24.08,24.24,24.24,2974756,0,1
2022-01-04,24.79,25.18,24.55,24.81,24.81,3270550,0,1
2022-01-03,25.55,25.75,24.4899,24.71,24.71,3994418,0,1
2021-12-31,25.22,25.98,25.2,25.83,25.83,2221778,0,1
2021-12-30,24.34,25.33,24.34,25.21,25.21,2969856,0,1
2021-12-29,23.83,24.44,23.59,24.44,24.44,3483409,0,1
2021-12-28,23.69,24.045,23.495,23.76,23.76,1860205,0,1
2021-12-27,23.68,23.74,23.29,23.72,23.72,2290246,0,1
2021-12-23,23.33,23.84,23.15,23.56,23.56,2769361,0,1
2021-12-22,23.11,23.8,23.0,23.49,23.49,4290379,0,1
2021-12-21,23.07,23.46,22.02,23.285,23.285,12392866,0,1
2021-12-20,24.14,24.46,23.54,23.85,23.85,3869444,0,1
2021-12-17,24.15,24.65,23.89,24.43,24.43,1692321,0,1
2021-12-16,23.08,24.3,22.95,24.17,24.17,2267469,0,1
2021-12-15,23.84,24.74,23.67,24.48,24.48,1234978,0,1
2021-12-14,24.98,25.08,24.05,24.24,24.24,933735,0,1
2021-12-13,24.43,25.01,24.19,24.94,24.94,709139,0,1
2021-12-10,25.12,25.12,24.5,24.52,24.52,1378245,0,1
2021-12-09,25.3,25.37,24.96,24.98,24.98,445195,0,1
2021-12-08,25.32,25.61,25.1,25.46,25.46,658043,0,1
2021-12-07,25.29,25.53,25.03,25.19,25.19,499798,0,1
2021-12-06,25.07,25.2,24.83,24.96,24.96,713021,0,1
2021-12-03,24.98,25.13,24.46,24.79,24.79,534145,0,1
2021-12-02,24.2,25.02,24.01,24.91,24.91,490113,0,1
2021-12-01,24.91,25.24,24.0,24.01,24.01,518804,0,1
2021-11-30,24.77,24.99,24.42,24.48,24.48,514407,0,1
2021-11-29,25.01,25.28,24.75,24.95,24.95,410945,0,1
2021-11-26,25.3,25.46,24.51,24.72,24.72,320122,0,1
2021-11-24,25.08,25.86,25.03,25.83,25.83,492760,0,1
2021-11-23,24.84,25.43,24.72,25.32,25.32,667693,0,1
2021-11-22,25.4,25.49,24.91,24.95,24.95,392097,0,1
2021-11-19,25.56,25.83,25.27,25.37,25.37,545143,0,1
2021-11-18,25.015,25.61,25.015,25.61,25.61,278435,0,1
2021-11-17,24.88,25.26,24.49,25.26,25.26,686829,0,1
2021-11-16,25.51,25.57,24.93,24.98,24.98,548104,0,1
2021-11-15,25.15,25.62,25.1,25.6,25.6,376057,0,1
2021-11-12,25.2,25.38,24.9,25.12,25.12,327076,0,1
2021-11-11,24.65,25.19,24.5952,25.18,25.18,593116,0,1
2021-11-10,24.5,24.95,24.5,24.68,24.68,446153,0,1
2021-11-09,24.45,24.89,24.45,24.62,24.62,437389,0,1
2021-11-08,24.62,24.67,24.41,24.44,24.44,420674,0,1
2021-11-05,24.49,24.77,24.32,24.52,24.52,485538,0,1
2021-11-04,24.35,24.58,24.12,24.21,24.21,465532,0,1
2021-11-03,24.29,24.56,24.12,24.33,24.33,793945,0,1
2021-11-02,23.78,24.14,23.65,24.04,24.04,657236,0,1
