timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,192.75,193.92,189.88,190.3,190.3,615530,0,1
2022-01-11,188.475,191.85,185.85,191.76,191.76,818153,0,1
2022-01-10,185.79,186.95,182.1725,186.87,186.87,1259868,0,1
2022-01-07,191.98,193.06,186.85,188.0,188.0,763640,0,1
2022-01-06,192.2,194.8292,190.43,192.59,192.59,651066,0,1
2022-01-05,196.38,197.0,191.96,192.2,192.2,907173,0,1
2022-01-04,202.65,202.67,194.75,197.4,197.4,1095013,0,1
2022-01-03,205.88,207.22,201.48,202.66,202.66,754288,0,1
2021-12-31,206.57,207.73,206.0,206.47,206.47,317703,0,1
2021-12-30,207.74,209.08,206.7,206.8,206.8,457301,0,1
2021-12-29,208.25,208.48,206.54,207.29,207.29,311332,0,1
2021-12-28,207.93,208.06,205.339,206.96,206.96,367107,0,1
2021-12-27,202.55,208.17,202.55,207.88,207.88,594840,0,1
2021-12-23,200.71,203.09,200.565,201.35,201.35,534461,0,1
2021-12-22,197.91,200.825,196.92,200.6,200.6,596689,0,1
2021-12-21,195.6,197.66,194.47,197.56,197.56,590273,0,1
2021-12-20,196.06,197.251,192.08,194.24,194.24,882490,0,1
2021-12-17,197.48,199.58,196.52,197.01,197.01,1365049,0,1
2021-12-16,203.61,204.9,198.035,198.52,198.52,987077,0,1
2021-12-15,198.71,204.29,197.44,203.93,203.93,735698,0,1
2021-12-14,203.14,203.14,195.33,198.07,198.07,1051150,0,1
2021-12-13,202.39,205.16,201.25,204.07,204.07,537936,0,1
2021-12-10,200.97,202.085,198.93,201.89,201.89,670228,0,1
2021-12-09,201.75,203.49,200.08,200.58,200.58,543861,0,1
2021-12-08,202.44,204.05,201.63,202.1,202.1,696055,0,1
2021-12-07,199.69,203.12,199.33,202.43,202.43,1152711,0,1
2021-12-06,199.98,199.98,192.63,195.16,195.16,1026171,0,1
2021-12-03,200.0,201.4899,196.05,199.3,199.3,1077402,0,1
2021-12-02,193.5,199.93,193.07,198.48,198.48,1001282,0,1
2021-12-01,197.0,198.45,193.45,193.65,193.65,1075847,0,1
2021-11-30,196.31,197.835,193.34,194.48,194.48,1100505,0,1
2021-11-29,194.0,198.97,193.9,197.64,197.64,1082289,0,1
2021-11-26,197.67,199.32,190.69,191.38,191.38,714484,0,1
2021-11-24,195.04,200.76,193.51,199.64,199.64,1084169,0,1
2021-11-23,192.04,198.59,190.46,195.28,195.28,1420476,0,1
2021-11-22,194.16,197.7,191.7,192.09,192.09,1404275,0,1
2021-11-19,195.0,196.18,193.55,194.58,194.58,992273,0,1
2021-11-18,194.86,195.7029,191.3,194.29,194.29,929991,0,1
2021-11-17,192.0,194.47,189.6855,194.38,194.38,805295,0,1
2021-11-16,187.53,193.175,187.52,192.83,192.83,628848,0,1
2021-11-15,187.11,189.05,186.09,188.2,188.2,518046,0,1
2021-11-12,186.71,187.0,185.16,186.63,186.63,596304,0,1
2021-11-11,184.71,186.65,184.02,185.79,185.79,425942,0,1
2021-11-10,184.69,185.7684,181.93,183.61,183.61,554945,0,1
2021-11-09,186.0,187.76,184.89,185.87,185.87,502792,0,1
2021-11-08,185.24,186.85,183.6,186.25,186.25,361821,0,1
2021-11-05,186.9,187.78,183.17,183.68,183.68,943319,0,1
2021-11-04,184.0,186.1,183.33,185.99,185.99,690589,0,1
2021-11-03,184.11,184.72,181.99,183.47,183.47,589574,0,1
2021-11-02,182.0,185.41,181.16,184.72,184.72,616918,0,1
2021-11-01,180.5,181.68,179.28,180.98,180.98,397444,0,1
2021-10-29,178.26,180.25,178.07,180.02,180.02,488743,0,1
2021-10-28,178.0,180.3,177.78,179.4,179.4,313947,0,1
2021-10-27,177.44,179.49,176.65,176.94,176.94,282784,0,1
2021-10-26,178.65,179.0,176.62,177.76,177.76,395236,0,1
2021-10-25,176.56,178.345,175.225,177.69,177.69,371338,0,1
2021-10-22,176.65,178.8,175.93,176.27,176.27,285962,0,1
2021-10-21,174.49,176.54,173.31,176.46,176.46,433925,0,1
2021-10-20,175.0,176.43,173.5,174.18,174.18,353461,0,1
2021-10-19,173.26,174.85,172.98,174.75,174.75,437015,0,1
2021-10-18,168.57,172.9,168.2,172.64,172.64,511396,0,1
2021-10-15,168.81,169.58,167.95,168.71,168.71,696567,0,1
2021-10-14,165.59,168.46,165.59,168.25,168.25,475851,0,1
2021-10-13,162.43,165.0,161.6,164.1,164.1,753810,0,1
2021-10-12,162.94,162.97,160.43,161.36,161.36,701414,0,1
2021-10-11,161.14,163.56,161.01,161.68,161.68,600057,0,1
2021-10-08,163.25,163.43,160.94,161.8,161.8,548054,0,1
2021-10-07,163.15,166.325,162.76,163.24,163.24,867434,0,1
2021-10-06,160.71,162.17,159.07,161.17,161.17,824495,0,1
2021-10-05,161.92,163.795,161.32,162.75,162.75,612543,0,1
2021-10-04,164.88,165.54,159.39,161.17,161.17,1010583,0,1
2021-10-01,164.73,166.25,163.23,165.5,165.5,621542,0,1
2021-09-30,167.64,168.91,164.21,164.29,164.29,910390,0,1
2021-09-29,168.57,170.455,166.79,166.9,166.9,924789,0,1
2021-09-28,175.01,175.76,167.91,167.93,167.93,1180557,0,1
2021-09-27,179.39,179.39,175.3,176.83,176.83,706405,0,1
2021-09-24,178.87,179.12,177.64,178.4,178.4,465273,0,1
2021-09-23,177.63,180.71,177.34,179.76,179.76,456385,0,1
2021-09-22,174.92,177.51,174.28,176.7,176.7,543235,0,1
2021-09-21,175.29,175.29,172.7701,174.21,174.21,498501,0,1
2021-09-20,174.88,174.88,172.53,173.86,173.86,863448,0,1
2021-09-17,178.52,179.99,177.18,177.46,177.46,567890,0,1
2021-09-16,179.33,179.995,178.11,179.84,179.84,473211,0,1
2021-09-15,178.61,180.4,177.77,179.64,179.64,432417,0,1
2021-09-14,178.93,179.155,177.5,178.21,178.21,785689,0,1
2021-09-13,181.0,181.09,176.9,178.21,178.21,867927,0,1
2021-09-10,181.68,182.0,179.92,180.1,180.1,519090,0,1
2021-09-09,181.91,181.91,180.165,180.78,180.78,684087,0,1
2021-09-08,180.7,181.56,179.31,181.5,181.5,450695,0,1
2021-09-07,181.0,182.49,180.43,181.2,181.2,440912,0,1
2021-09-03,180.25,182.14,180.0,181.37,181.37,611319,0,1
2021-09-02,179.73,180.32,178.9829,180.27,180.27,441558,0,1
2021-09-01,178.96,179.85,177.01,178.68,178.68,646851,0,1
2021-08-31,180.0,180.07,177.28,179.38,179.38,607090,0,1
2021-08-30,177.77,180.395,177.77,179.13,179.13,518783,0,1
2021-08-27,176.0,178.32,174.82,177.52,177.52,671732,0,1
2021-08-26,174.58,175.9,173.96,175.58,175.58,950987,0,1
2021-08-25,174.79,175.32,173.93,174.64,174.64,1023818,0,1
2021-08-24,173.25,175.14,172.75,174.93,174.93,863589,0,1
2021-08-23,169.49,172.9101,169.335,171.38,171.38,657345,0,1
2021-08-20,166.36,169.22,166.08,168.79,168.79,690483,0,1
2021-08-19,163.64,168.94,161.11,166.71,166.71,1224164,0,1
2021-08-18,163.8,165.26,163.11,163.675,163.675,752110,0,1
2021-08-17,165.75,165.81,163.18,164.43,164.43,414768,0,1
2021-08-16,165.59,166.69,164.47,166.64,166.64,337605,0,1
2021-08-13,165.43,166.25,164.165,166.1,166.1,384536,0,1
2021-08-12,165.0,165.1063,163.23,165.02,165.02,355227,0,1
2021-08-11,165.61,165.62,163.67,165.05,165.05,485755,0,1
2021-08-10,167.58,167.99,164.51,165.63,165.63,537813,0,1
2021-08-09,166.42,167.15,166.07,166.96,166.96,386103,0,1
2021-08-06,166.59,167.63,166.0,166.62,166.62,491210,0,1
2021-08-05,167.4,167.62,165.53,166.395,166.395,830994,0,1
2021-08-04,166.3,168.1737,166.04,167.04,167.04,509629,0,1
2021-08-03,165.42,166.88,164.48,166.75,166.75,525412,0,1
2021-08-02,165.0,165.48,163.8,164.96,164.96,742033,0,1
2021-07-30,161.03,164.885,161.03,164.56,164.56,857559,0,1
2021-07-29,160.99,162.86,160.71,161.66,161.66,644441,0,1
2021-07-28,159.27,161.2,159.025,160.15,160.15,536223,0,1
2021-07-27,159.83,159.83,156.23,158.91,158.91,745050,0,1
2021-07-26,159.5,159.98,158.33,159.98,159.98,401143,0,1
2021-07-23,159.55,160.86,158.23,159.65,159.65,392419,0,1
2021-07-22,159.0,159.38,158.25,158.62,158.62,364201,0,1
2021-07-21,157.07,158.49,156.63,158.48,158.48,355124,0,1
2021-07-20,155.6,157.44,155.02,156.62,156.62,594401,0,1
2021-07-19,153.07,154.885,152.96,154.86,154.86,534186,0,1
2021-07-16,157.19,157.75,154.84,155.04,155.04,800875,0,1
2021-07-15,157.16,157.41,155.61,156.58,156.58,690456,0,1
2021-07-14,158.19,158.82,157.3,157.93,157.93,621687,0,1
2021-07-13,157.72,158.58,156.99,157.42,157.42,540277,0,1
2021-07-12,156.5,158.13,156.06,157.75,157.75,1012857,0,1
2021-07-09,154.92,155.91,154.06,155.76,155.76,307363,0,1
2021-07-08,153.53,155.59,151.855,154.03,154.03,403829,0,1
2021-07-07,155.0,155.525,153.46,155.28,155.28,602723,0,1
2021-07-06,153.4,154.31,151.54,154.17,154.17,535462,0,1
2021-07-02,152.52,153.43,150.35,153.14,153.14,686148,0,1
2021-07-01,154.52,154.52,152.93,153.53,153.53,794609,0,1
2021-06-30,155.0,155.1,153.81,154.41,154.41,673864,0,1
2021-06-29,154.41,155.88,154.005,155.8,155.8,449594,0,1
2021-06-28,153.24,154.88,153.11,154.41,154.41,400227,0,1
2021-06-25,152.68,153.98,152.6965,153.27,153.27,427612,0,1
2021-06-24,151.9,153.21,151.15,152.69,152.69,484833,0,1
2021-06-23,150.61,151.27,150.25,151.05,151.05,960661,0,1
2021-06-22,148.61,150.8,148.07,150.57,150.57,709152,0,1
2021-06-21,148.03,149.47,146.3139,149.13,149.13,684214,0,1
2021-06-18,148.31,149.6195,146.9,147.48,147.48,803050,0,1
2021-06-17,148.9,151.93,148.53,149.4,149.4,755599,0,1
2021-06-16,148.5,149.729,147.45,148.9,148.9,610996,0,1
2021-06-15,149.34,150.6899,147.8,148.06,148.06,736579,0,1
2021-06-14,148.19,148.67,146.925,148.59,148.59,460780,0,1
2021-06-11,149.15,149.15,146.93,147.83,147.83,484296,0,1
2021-06-10,147.0,148.98,146.67,148.95,148.95,323034,0,1
2021-06-09,149.14,149.26,146.9,147.01,147.01,359622,0,1
2021-06-08,148.92,149.43,147.88,148.75,148.75,347468,0,1
2021-06-07,148.88,150.05,147.36,148.13,148.13,596644,0,1
2021-06-04,145.59,149.2,145.59,148.91,148.91,736272,0,1
2021-06-03,143.79,145.5,142.6,145.02,145.02,884759,0,1
2021-06-02,141.62,143.99,141.22,143.96,143.96,708371,0,1
2021-06-01,143.07,143.9,141.96,142.02,142.02,647657,0,1
2021-05-28,141.0,142.61,140.885,142.44,142.44,597139,0,1
2021-05-27,141.3,142.155,140.185,140.5,140.5,544451,0,1
2021-05-26,139.91,141.65,139.815,141.39,141.39,538342,0,1
2021-05-25,141.11,141.17,139.81,140.01,140.01,636535,0,1
2021-05-24,140.48,141.69,140.44,140.79,140.79,436718,0,1
2021-05-21,141.32,142.17,139.36,139.55,139.55,702423,0,1
2021-05-20,135.54,142.08,135.966,141.15,141.15,1337055,0,1
2021-05-19,136.25,138.27,134.65,138.23,138.23,1186742,0,1
2021-05-18,140.74,140.74,138.35,138.4,138.4,791395,0,1
2021-05-17,139.85,141.1,138.8,139.54,139.54,506472,0,1
2021-05-14,139.58,140.73,138.8,139.86,139.86,720459,0,1
2021-05-13,136.51,138.41,136.0,138.03,138.03,776290,0,1
2021-05-12,137.64,138.49,135.31,135.42,135.42,863451,0,1
2021-05-11,138.04,139.67,137.01,138.88,138.88,945824,0,1
2021-05-10,142.85,142.85,139.68,139.87,139.87,562857,0,1
2021-05-07,143.36,144.91,142.61,143.39,143.39,464632,0,1
2021-05-06,140.48,142.87,139.73,142.81,142.81,466044,0,1
2021-05-05,141.41,141.89,140.14,140.74,140.74,461468,0,1
2021-05-04,139.3,140.6,137.48,140.39,140.39,691829,0,1
2021-05-03,145.45,145.45,140.27,140.31,140.31,896400,0,1
2021-04-30,147.12,147.73,143.91,144.35,144.35,609105,0,1
2021-04-29,147.59,148.49,145.95,148.35,148.35,330530,0,1
2021-04-28,148.32,149.29,146.53,146.57,146.57,826285,0,1
2021-04-27,149.0,149.78,147.0,148.44,148.44,654841,0,1
2021-04-26,147.99,148.965,147.19,148.78,148.78,410795,0,1
2021-04-23,145.7,148.16,145.22,147.82,147.82,468090,0,1
2021-04-22,144.98,146.1,144.1,145.62,145.62,692367,0,1
2021-04-21,142.83,145.36,142.6,144.69,144.69,385304,0,1
2021-04-20,143.09,143.78,141.74,143.05,143.05,434309,0,1
2021-04-19,145.07,145.52,142.23,143.56,143.56,522622,0,1
2021-04-16,146.07,146.49,144.9,145.4,145.4,920025,0,1
2021-04-15,143.99,145.46,143.66,145.31,145.31,805729,0,1
2021-04-14,143.33,144.5,142.21,143.49,143.49,814384,0,1
2021-04-13,145.17,145.63,143.05,143.36,143.36,737475,0,1
2021-04-12,146.06,146.23,144.15,145.09,145.09,702478,0,1
2021-04-09,145.2,146.24,143.68,146.16,146.16,537808,0,1
2021-04-08,145.56,146.0,143.8865,144.63,144.63,587642,0,1
2021-04-07,145.92,145.92,143.275,143.94,143.94,506703,0,1
2021-04-06,146.4,147.0,145.38,145.95,145.95,447939,0,1
2021-04-05,145.0,147.76,144.51,147.38,147.38,601082,0,1
2021-04-01,144.0,144.6,142.76,143.78,143.78,857234,0,1
2021-03-31,142.0,144.77,141.9132,143.43,143.43,828858,0,1
2021-03-30,140.93,142.2444,140.395,141.5,141.5,725974,0,1
2021-03-29,141.9,143.87,140.87,141.33,141.33,874579,0,1
2021-03-26,137.02,142.35,136.5,142.18,142.18,762016,0,1
2021-03-25,134.24,136.51,133.68,136.18,136.18,647534,0,1
2021-03-24,135.2,136.14,134.05,135.18,135.18,630252,0,1
2021-03-23,138.1,138.68,134.54,135.09,135.09,634432,0,1
2021-03-22,134.77,137.95,134.77,137.44,137.44,558943,0,1
2021-03-19,136.34,137.44,134.61,134.72,134.72,760963,0,1
2021-03-18,135.87,138.33,135.36,136.05,136.05,669144,0,1
2021-03-17,136.4,137.67,134.76,137.34,137.34,513741,0,1
2021-03-16,137.27,138.04,136.4527,137.43,137.43,647888,0,1
2021-03-15,136.63,137.5178,135.13,136.9,136.9,563614,0,1
2021-03-12,135.02,136.22,134.22,135.99,135.99,499331,0,1
2021-03-11,138.02,138.64,135.98,136.24,136.24,664944,0,1
2021-03-10,137.59,138.0,135.06,135.33,135.33,746786,0,1
2021-03-09,133.87,137.02,133.68,136.313,136.313,811072,0,1
2021-03-08,134.49,135.18,132.18,132.19,132.19,1014867,0,1
2021-03-05,133.88,135.33,129.09,134.63,134.63,1225127,0,1
2021-03-04,137.0,137.8,131.26,132.43,132.43,1984271,0,1
2021-03-03,141.76,141.76,136.74,137.48,137.48,773085,0,1
2021-03-02,144.95,145.23,141.43,141.76,141.76,585219,0,1
2021-03-01,144.01,144.54,142.62,144.43,144.43,686698,0,1
2021-02-26,140.68,142.99,139.365,141.59,141.59,922112,0,1
2021-02-25,143.33,144.49,138.71,139.64,139.64,1155180,0,1
2021-02-24,138.65,143.84,138.22,143.62,143.62,967374,0,1
2021-02-23,135.87,140.36,133.53,139.43,139.43,1796971,0,1
2021-02-22,141.61,143.09,137.57,137.68,137.68,1543723,0,1
2021-02-19,150.62,150.87,141.18,142.2,142.2,2531257,0,1
2021-02-18,147.39,149.49,147.16,148.06,148.06,1402219,0,1
2021-02-17,150.4,150.53,146.3,149.06,149.06,909810,0,1
2021-02-16,154.5,155.5,150.33,151.07,151.07,859062,0,1
2021-02-12,150.78,153.69,150.42,153.44,153.44,1143028,0,1
2021-02-11,149.49,150.43,148.1,150.31,150.31,729220,0,1
2021-02-10,147.39,148.76,146.115,148.44,148.44,796813,0,1
2021-02-09,144.38,146.91,144.325,146.4,146.4,686260,0,1
2021-02-08,144.0,144.96,143.345,144.7,144.7,840935,0,1
2021-02-05,141.17,143.2,141.17,142.9259,142.9259,960875,0,1
2021-02-04,142.28,142.56,139.7,140.59,140.59,975092,0,1
2021-02-03,142.46,142.93,141.05,141.48,141.48,1058933,0,1
2021-02-02,143.97,144.868,141.51,141.53,141.53,1440869,0,1
2021-02-01,142.88,143.645,140.82,142.81,142.81,1126856,0,1
