timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,428.96,436.99,428.96,433.99,433.99,1075110,0,1
2022-01-11,414.86,425.87,410.5,425.83,425.83,789585,0,1
2022-01-10,410.83,419.52,404.7,419.0,419.0,1035645,0,1
2022-01-07,429.81,435.53,416.19,416.91,416.91,896997,0,1
2022-01-06,420.63,435.05,417.77,432.51,432.51,1032245,0,1
2022-01-05,432.16,435.09,419.68,420.42,420.42,931678,0,1
2022-01-04,434.38,436.84,417.6,430.98,430.98,853298,0,1
2022-01-03,431.14,435.64,425.61,435.28,435.28,840220,0,1
2021-12-31,427.9,431.93,427.26,430.11,430.11,329298,0,1
2021-12-30,435.45,436.0,426.29,427.45,427.45,463339,0,1
2021-12-29,432.78,438.91,431.53,434.81,434.81,396870,0,1
2021-12-28,441.54,442.435,430.32,432.12,432.12,640196,0,1
2021-12-27,422.41,441.55,422.01,440.16,440.16,881620,0,1
2021-12-23,415.23,424.49,415.031,420.57,420.57,714790,0,1
2021-12-22,406.28,413.38,403.5466,413.21,413.21,519516,0,1
2021-12-21,403.59,412.2,401.06,409.4,409.4,1583701,0,1
2021-12-20,385.87,393.13,381.63,385.38,385.38,1051011,0,1
2021-12-17,394.15,397.48,387.0,391.55,391.55,1598188,0,1
2021-12-16,413.43,414.99,395.09,397.08,397.08,1138655,0,1
2021-12-15,401.9,411.54,392.77,410.01,410.01,1464153,0,1
2021-12-14,395.79,402.3,394.18,399.7,399.7,735652,0,1
2021-12-13,411.28,411.28,396.83,400.83,400.83,586975,0,1
2021-12-10,416.25,417.55,404.09,410.72,410.72,589864,0,1
2021-12-09,417.29,420.12,408.82,409.18,409.18,722830,0,1
2021-12-08,418.76,422.31,413.295,421.28,421.28,623143,0,1
2021-12-07,406.99,420.48,405.765,419.36,419.36,985004,0,1
2021-12-06,402.92,403.42,390.17,399.57,399.57,1055507,0,1
2021-12-03,407.62,410.91,394.61,400.785,400.785,1091035,0,1
2021-12-02,409.28,415.87,401.21,402.51,402.51,1308965,0,1
2021-12-01,415.25,428.22,408.18,412.16,412.16,1333389,0,1
2021-11-30,412.66,418.43,405.82,407.89,407.89,904427,0,1
2021-11-29,403.22,414.61,402.81,413.63,413.63,804546,0,1
2021-11-26,406.71,410.1,397.04,399.14,399.14,544710,0,1
2021-11-24,410.39,413.35,401.12,413.1,413.1,591528,0,1
2021-11-23,408.0,412.36,400.7972,412.01,412.01,760212,0,1
