timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,148.03,149.84,146.61,147.9,147.9,119198,0,1
2022-01-11,151.66,151.66,146.2,147.46,147.46,142580,0,1
2022-01-10,150.91,151.53,148.5308,150.84,150.84,55237,0,1
2022-01-07,155.96,157.999,151.85,152.2,152.2,75469,0,1
2022-01-06,152.05,157.39,150.95,156.35,156.35,97995,0,1
2022-01-05,158.03,159.39,151.56,151.97,151.97,106732,0,1
2022-01-04,159.51,161.11,157.59,157.72,157.72,89914,0,1
2022-01-03,157.28,159.1,156.245,158.63,158.63,91944,0,1
2021-12-31,155.98,156.06,153.44,155.97,155.97,79437,0,1
2021-12-30,155.67,157.34,155.01,156.63,156.63,62202,0,1
2021-12-29,153.09,154.76,152.175,154.72,154.72,66079,0,1
2021-12-28,152.33,154.68,151.97,153.06,153.06,66769,0,1
2021-12-27,150.04,152.7869,148.58,152.39,152.39,86752,0,1
2021-12-23,147.9,150.99,146.37,149.89,149.89,97914,0,1
2021-12-22,146.18,148.07,145.8825,146.87,146.87,98545,0,1
2021-12-21,143.21,146.44,143.21,145.75,145.75,153287,0,1
2021-12-20,149.57,149.9,142.4,142.4,142.4,247679,0,1
2021-12-17,157.12,157.73,150.87,151.15,151.15,307630,0,1
2021-12-16,158.06,158.06,155.095,155.58,155.58,168264,0,1
2021-12-15,157.07,157.07,151.43,156.58,156.58,171295,0,1
2021-12-14,157.85,159.695,155.88,157.34,157.34,173812,0,1
2021-12-13,159.29,160.36,158.32,158.55,158.55,57943,0,1
2021-12-10,159.86,160.0,158.0,159.6,159.6,106784,0,1
2021-12-09,158.72,161.06,158.44,159.51,159.51,104826,0,1
2021-12-08,160.62,162.6,158.75,160.25,160.25,135865,0,1
2021-12-07,161.93,162.46,158.2,159.76,159.76,179982,0,1
2021-12-06,156.82,161.04,154.04,160.83,160.83,82931,0,1
2021-12-03,158.23,158.23,153.585,154.75,154.75,133626,0,1
2021-12-02,153.77,157.4,152.472,157.39,157.39,78428,0,1
2021-12-01,155.89,157.87,153.0381,153.62,153.62,130774,0,1
2021-11-30,152.08,153.9,150.89,152.36,152.36,126664,0,1
2021-11-29,157.63,158.98,150.92,152.32,152.32,149721,0,1
2021-11-26,154.73,157.22,153.08,156.59,156.59,86626,0,1
2021-11-24,157.5,159.235,156.79,158.34,158.34,54395,0,1
2021-11-23,161.25,161.25,157.53,158.04,158.04,107429,0,1
2021-11-22,158.0,163.33,157.88,161.37,161.37,163693,0,1
2021-11-19,152.95,157.8573,152.26,156.92,156.92,111649,0,1
2021-11-18,154.56,154.79,151.46,154.2,154.2,45193,0,1
2021-11-17,154.0,155.25,151.23,153.92,153.92,81724,0,1
2021-11-16,154.1,155.16,153.02,154.36,154.36,95300,0,1
2021-11-15,155.07,155.07,153.54,153.99,153.99,47468,0,1
2021-11-12,154.01,155.21,151.56,153.86,153.86,69556,0,1
2021-11-11,152.27,153.5,151.09,152.83,152.83,98006,0,1
2021-11-10,149.94,156.18,149.02,152.27,152.27,199751,0,1
2021-11-09,150.83,151.846,149.83,150.4,150.4,51763,0,1
2021-11-08,151.07,152.05,149.5235,150.66,150.66,119687,0,1
2021-11-05,152.0,152.59,149.57,150.58,150.58,137649,0,1
2021-11-04,150.77,151.0,148.06,149.79,149.79,135412,0,1
2021-11-03,143.25,151.64,141.51,149.5,149.5,249705,0,1
2021-11-02,141.55,143.21,138.27,142.38,142.38,235516,0,1
2021-11-01,140.13,144.24,139.195,142.08,142.08,158028,0,1
2021-10-29,141.53,142.63,138.59,139.61,139.61,81428,0,1
2021-10-28,138.27,140.939,137.64,140.45,140.45,110745,0,1
2021-10-27,139.55,139.86,135.83,136.95,136.95,100374,0,1
2021-10-26,139.99,140.07,137.24,139.84,139.84,208631,0,1
2021-10-25,139.96,141.19,139.09,140.14,140.14,128208,0,1
2021-10-22,139.68,141.22,139.3,139.97,139.97,53677,0,1
2021-10-21,139.8,140.255,137.99,139.41,139.41,86028,0,1
2021-10-20,138.39,139.59,137.15,139.09,139.09,63587,0,1
2021-10-19,139.93,139.93,137.19,138.97,138.97,62723,0,1
2021-10-18,141.12,141.445,138.48,139.3,139.3,181430,0,1
2021-10-15,143.47,143.47,140.97,142.25,142.25,236036,0,1
2021-10-14,140.79,142.4,140.32,140.9,140.9,178549,0,1
2021-10-13,138.86,139.6,137.12,139.53,139.53,70470,0,1
2021-10-12,137.86,138.5,136.58,138.34,138.34,68859,0,1
2021-10-11,137.24,138.515,136.825,137.57,137.57,39175,0,1
2021-10-08,136.45,138.1466,136.07,137.2,137.2,37656,0,1
2021-10-07,136.75,138.58,135.41,136.74,136.74,45889,0,1
2021-10-06,134.57,136.54,133.0,135.72,135.72,100047,0,1
2021-10-05,137.09,137.09,135.485,136.11,136.11,219247,0,1
2021-10-04,138.48,139.34,136.05,137.41,137.41,60911,0,1
2021-10-01,135.42,138.43,133.1,137.2,137.2,121796,0,1
2021-09-30,135.75,136.045,133.81,134.63,134.63,130381,0,1
2021-09-29,135.11,137.42,134.87,135.77,135.77,84364,0,1
2021-09-28,131.33,134.67,131.33,134.14,134.14,95559,0,1
2021-09-27,129.26,132.7,128.12,131.56,131.56,61622,0,1
2021-09-24,128.4,130.39,127.33,128.64,128.64,67193,0,1
2021-09-23,126.69,130.2,125.86,128.61,128.61,72465,0,1
2021-09-22,124.0,126.99,124.0,125.18,125.18,52611,0,1
2021-09-21,126.65,127.74,123.0,123.0,123.0,70136,0,1
2021-09-20,129.0,131.0,125.0,125.93,125.93,150138,0,1
2021-09-17,132.29,132.76,129.43,132.31,132.31,113313,0,1
2021-09-16,132.05,132.734,130.87,131.6,131.6,55005,0,1
2021-09-15,130.78,133.3,130.55,132.2,132.2,109018,0,1
2021-09-14,132.35,132.66,129.33,130.9,130.9,69156,0,1
2021-09-13,132.16,132.565,130.02,132.53,132.53,49166,0,1
2021-09-10,132.76,134.7,130.28,130.53,130.53,59918,0,1
2021-09-09,131.4,133.145,129.965,132.1,132.1,66379,0,1
2021-09-08,132.9,132.94,129.87,130.42,130.42,119343,0,1
2021-09-07,136.77,137.565,133.84,134.19,134.19,69522,0,1
2021-09-03,140.0,140.0,135.26,136.49,136.49,109392,0,1
2021-09-02,141.7,141.9039,140.01,140.77,140.77,54099,0,1
2021-09-01,142.15,142.77,140.1,141.02,141.02,36502,0,1
2021-08-31,142.8,144.29,140.01,141.37,141.37,42158,0,1
2021-08-30,144.13,145.77,142.9,143.37,143.37,33503,0,1
2021-08-27,143.0,145.65,142.0,144.21,144.21,69104,0,1
2021-08-26,146.27,146.27,141.31,141.67,141.67,36250,0,1
2021-08-25,143.91,145.885,143.11,145.07,145.07,22324,0,1
2021-08-24,142.36,144.4806,142.05,143.71,143.71,30314,0,1
2021-08-23,142.8,143.06,141.11,141.17,141.17,38904,0,1
2021-08-20,138.66,142.53,137.0198,142.06,142.06,35916,0,1
2021-08-19,138.52,140.14,137.55,138.68,138.68,42117,0,1
2021-08-18,146.48,147.53,139.555,140.21,140.21,123832,0,1
2021-08-17,145.3,146.74,143.08,146.49,146.49,89705,0,1
2021-08-16,145.75,147.94,144.09,147.46,147.46,23658,0,1
2021-08-13,150.67,150.67,145.8301,146.28,146.28,57889,0,1
2021-08-12,151.63,151.63,149.13,149.73,149.73,30175,0,1
2021-08-11,147.94,151.0,147.28,151.0,151.0,53964,0,1
2021-08-10,142.99,148.7499,141.82,148.57,148.57,90029,0,1
2021-08-09,147.55,147.55,143.02,143.02,143.02,56348,0,1
2021-08-06,145.12,147.56,144.41,147.55,147.55,52720,0,1
2021-08-05,145.15,145.77,142.65,144.57,144.57,56289,0,1
2021-08-04,141.05,144.4275,140.3,143.91,143.91,103905,0,1
2021-08-03,142.98,148.3,134.53,143.0,143.0,346218,0,1
2021-08-02,146.93,150.9,145.31,145.605,145.605,96701,0,1
2021-07-30,149.51,151.94,145.01,146.04,146.04,230847,0,1
2021-07-29,147.46,150.56,146.54,150.03,150.03,106053,0,1
2021-07-28,145.73,147.57,144.0,146.77,146.77,58333,0,1
2021-07-27,144.04,145.78,142.69,144.06,144.06,52750,0,1
2021-07-26,143.53,145.03,143.14,144.29,144.29,69681,0,1
2021-07-23,141.04,143.14,141.04,142.93,142.93,45506,0,1
2021-07-22,141.42,142.38,139.67,140.11,140.11,118907,0,1
2021-07-21,140.66,142.63,140.1108,140.96,140.96,68293,0,1
2021-07-20,132.56,140.9,132.56,139.17,139.17,133826,0,1
2021-07-19,131.11,133.875,129.27,131.35,131.35,102841,0,1
2021-07-16,135.41,135.66,133.0,133.0,133.0,156442,0,1
2021-07-15,134.85,135.25,132.13,133.92,133.92,96279,0,1
2021-07-14,134.08,134.8,132.1,133.07,133.07,70983,0,1
2021-07-13,133.41,134.89,132.82,133.78,133.78,81153,0,1
2021-07-12,133.01,134.87,132.17,134.3,134.3,91433,0,1
2021-07-09,130.28,133.51,130.28,133.5,133.5,83072,0,1
2021-07-08,127.7,131.56,126.02,128.39,128.39,92660,0,1
2021-07-07,129.19,131.02,128.21,130.3,130.3,55608,0,1
2021-07-06,131.0,131.0,127.3701,129.77,129.77,111361,0,1
2021-07-02,135.61,135.61,130.53,130.62,130.62,116459,0,1
2021-07-01,132.78,136.31,131.65,135.76,135.76,129974,0,1
2021-06-30,128.39,131.59,128.2,131.51,131.51,139273,0,1
2021-06-29,128.57,131.0,127.95,128.82,128.82,176362,0,1
2021-06-28,129.32,130.75,126.94,128.26,128.26,194990,0,1
2021-06-25,130.05,131.94,127.475,130.24,130.24,314111,0,1
2021-06-24,128.83,130.6,127.12,129.78,129.78,178954,0,1
2021-06-23,127.69,129.07,125.08,128.01,128.01,351696,0,1
2021-06-22,128.55,129.52,125.555,127.44,127.44,280406,0,1
2021-06-21,127.2,129.1,126.69,128.55,128.55,205712,0,1
2021-06-18,126.21,128.81,125.25,125.69,125.69,197687,0,1
2021-06-17,131.96,132.55,125.28,128.95,128.95,319463,0,1
2021-06-16,136.49,137.54,133.1,134.19,134.19,184085,0,1
2021-06-15,137.5,137.91,135.43,136.57,136.57,214256,0,1
2021-06-14,137.95,137.95,133.78,137.1,137.1,340984,0,1
2021-06-11,138.54,139.8146,137.96,138.54,138.54,92989,0,1
2021-06-10,142.99,143.92,138.15,138.43,138.43,136993,0,1
2021-06-09,146.71,148.25,142.06,142.07,142.07,159987,0,1
2021-06-08,151.6,151.6,145.99,146.64,146.64,213541,0,1
2021-06-07,152.35,152.8,149.94,151.34,151.34,147356,0,1
2021-06-04,150.75,152.15,149.37,151.76,151.76,101764,0,1
2021-06-03,150.04,150.04,147.25,149.61,149.61,154535,0,1
2021-06-02,152.05,152.97,148.0,150.65,150.65,152826,0,1
2021-06-01,149.51,153.82,148.72,151.53,151.53,112963,0,1
2021-05-28,149.9,149.9,146.58,149.11,149.11,56951,0,1
2021-05-27,148.45,149.6,146.36,149.22,149.22,118048,0,1
2021-05-26,144.97,147.565,144.35,146.68,146.68,151035,0,1
2021-05-25,142.87,144.76,141.205,143.7,143.7,111686,0,1
2021-05-24,142.28,143.74,140.53,142.36,142.36,266875,0,1
2021-05-21,140.17,141.48,138.53,141.15,141.15,144898,0,1
2021-05-20,136.99,137.93,134.99,137.93,137.93,85983,0,1
2021-05-19,136.26,138.3,135.0,137.05,137.05,84764,0,1
2021-05-18,143.17,143.17,138.13,138.17,138.17,161388,0,1
2021-05-17,141.13,143.18,138.965,142.72,142.72,198365,0,1
2021-05-14,137.95,142.99,136.01,142.78,142.78,277181,0,1
2021-05-13,133.26,137.21,133.26,136.53,136.53,316926,0,1
2021-05-12,131.34,136.62,130.99,132.64,132.64,457221,0,1
2021-05-11,129.63,132.02,127.22,131.93,131.93,853843,0,1
2021-05-10,139.83,139.83,128.795,129.87,129.87,661461,0,1
2021-05-07,145.55,147.41,145.55,146.33,146.33,58867,0,1
2021-05-06,145.65,146.9111,142.88,145.49,145.49,90763,0,1
2021-05-05,152.24,152.95,145.33,145.33,145.33,118358,0,1
2021-05-04,148.95,151.29,145.58,150.4,150.4,145658,0,1
2021-05-03,148.12,149.5,147.3339,148.54,148.54,78558,0,1
2021-04-30,148.99,149.85,146.22,146.26,146.26,95463,0,1
2021-04-29,153.47,156.6099,149.58,150.4,150.4,53918,0,1
2021-04-28,151.55,153.99,149.97,152.28,152.28,45352,0,1
2021-04-27,154.24,155.2163,151.56,152.39,152.39,120209,0,1
2021-04-26,148.49,153.44,148.49,152.88,152.88,82397,0,1
2021-04-23,144.04,148.17,143.44,147.25,147.25,59269,0,1
2021-04-22,143.81,145.68,141.67,143.57,143.57,44344,0,1
2021-04-21,139.41,143.67,139.41,142.81,142.81,69659,0,1
2021-04-20,141.21,143.28,138.09,139.38,139.38,58171,0,1
2021-04-19,144.04,144.97,140.71,142.76,142.76,60430,0,1
2021-04-16,141.18,144.6,138.9868,143.62,143.62,82358,0,1
2021-04-15,142.9,142.9,137.97,138.94,138.94,59198,0,1
2021-04-14,137.45,142.25,137.45,141.96,141.96,103597,0,1
2021-04-13,137.18,139.1,134.1,136.63,136.63,31971,0,1
2021-04-12,135.86,138.99,134.3201,137.89,137.89,37279,0,1
2021-04-09,137.0,137.5,134.35,135.73,135.73,52604,0,1
2021-04-08,136.36,137.1,133.63,137.08,137.08,49594,0,1
2021-04-07,138.82,139.45,134.2405,136.4,136.4,107443,0,1
2021-04-06,136.99,139.98,136.1,138.62,138.62,48331,0,1
2021-04-05,137.95,138.89,135.1,136.66,136.66,50452,0,1
2021-04-01,133.21,136.47,132.44,136.46,136.46,52130,0,1
2021-03-31,134.59,136.06,132.28,132.38,132.38,85104,0,1
2021-03-30,128.01,133.84,126.4,133.5,133.5,80488,0,1
2021-03-29,130.42,133.13,127.85,128.05,128.05,78137,0,1
2021-03-26,130.81,132.79,128.38,131.63,131.63,72882,0,1
2021-03-25,124.91,130.28,123.51,129.32,129.32,94771,0,1
2021-03-24,133.36,134.72,126.05,126.3,126.3,106100,0,1
2021-03-23,134.33,135.71,129.8854,130.58,130.58,79995,0,1
2021-03-22,138.9,139.68,135.0,136.43,136.43,34562,0,1
2021-03-19,142.63,142.92,137.465,138.84,138.84,266843,0,1
2021-03-18,145.39,146.155,142.32,142.9,142.9,104345,0,1
2021-03-17,143.34,146.05,143.17,145.75,145.75,58367,0,1
2021-03-16,146.97,146.97,142.95,143.75,143.75,58499,0,1
2021-03-15,143.11,146.62,141.88,146.31,146.31,101717,0,1
2021-03-12,144.98,145.83,143.79,144.87,144.87,95112,0,1
2021-03-11,142.16,145.33,141.5078,144.55,144.55,99357,0,1
2021-03-10,138.38,142.95,137.925,141.37,141.37,92287,0,1
2021-03-09,138.53,138.88,135.52,136.93,136.93,127601,0,1
2021-03-08,135.29,139.755,134.15,135.46,135.46,159454,0,1
2021-03-05,133.81,135.24,130.74,134.14,134.14,167668,0,1
2021-03-04,136.42,137.33,127.015,131.76,131.76,176965,0,1
2021-03-03,138.12,141.5,136.24,136.46,136.46,110556,0,1
2021-03-02,142.78,143.555,137.0,137.04,137.04,116233,0,1
2021-03-01,143.41,145.38,142.28,143.53,143.53,258494,0,1
2021-02-26,143.81,144.76,140.7,140.71,140.71,95326,0,1
2021-02-25,152.19,153.445,142.92,142.92,142.92,102395,0,1
2021-02-24,153.34,154.78,151.58,152.84,152.84,151640,0,1
2021-02-23,149.81,153.63,146.33,152.49,152.49,107992,0,1
2021-02-22,145.87,153.4,145.02,151.97,151.97,195075,0,1
2021-02-19,143.89,147.67,143.26,147.26,147.26,67036,0,1
2021-02-18,142.38,143.41,140.25,143.01,143.01,114479,0,1
2021-02-17,140.44,145.58,140.44,143.4,143.4,114842,0,1
2021-02-16,147.35,147.35,142.4,143.15,143.15,57205,0,1
2021-02-12,143.69,147.58,142.957,146.2,146.2,72932,0,1
2021-02-11,143.98,146.69,142.28,144.18,144.18,110233,0,1
2021-02-10,151.13,152.96,141.73,142.61,142.61,139644,0,1
2021-02-09,147.0,151.92,140.07,151.17,151.17,118400,0,1
2021-02-08,145.04,151.94,143.93,150.98,150.98,134918,0,1
2021-02-05,141.49,144.22,139.99,143.8,143.8,93363,0,1
2021-02-04,137.37,141.4,137.1206,139.36,139.36,69828,0,1
2021-02-03,136.63,138.17,134.02,137.12,137.12,88191,0,1
2021-02-02,132.9,137.68,131.92,136.39,136.39,78689,0,1
2021-02-01,130.18,132.64,128.15,131.57,131.57,124198,0,1
2021-01-29,131.63,133.2,128.91,129.8,129.8,98798,0,1
2021-01-28,133.41,134.14,130.4,132.23,132.23,93481,0,1
2021-01-27,133.62,134.98,130.315,131.76,131.76,96474,0,1
2021-01-26,138.19,138.5,134.38,137.49,137.49,115597,0,1
2021-01-25,139.54,140.53,133.89,137.36,137.36,158632,0,1
2021-01-22,140.76,142.55,140.5,140.82,140.82,56504,0,1
2021-01-21,144.49,146.24,142.53,142.73,142.73,39480,0,1
2021-01-20,145.11,146.73,143.04,143.68,143.68,86144,0,1
2021-01-19,143.09,145.42,141.53,144.24,144.24,63561,0,1
2021-01-15,144.1,145.19,140.97,141.74,141.74,78243,0,1
2021-01-14,143.22,147.84,142.0525,146.88,146.88,87419,0,1
2021-01-13,144.81,144.81,141.12,141.58,141.58,154904,0,1
2021-01-12,140.39,145.03,139.25,145.0,145.0,116770,0,1
2021-01-11,137.1,141.04,137.1,139.42,139.42,53175,0,1
2021-01-08,142.79,143.13,136.66,139.06,139.06,83278,0,1
2021-01-07,139.71,142.05,137.35,141.94,141.94,103770,0,1
2021-01-06,133.81,140.5322,132.87,138.71,138.71,146425,0,1
2021-01-05,128.0,132.3,127.78,131.64,131.64,46328,0,1
2021-01-04,130.65,130.6936,127.68,128.42,128.42,44923,0,1
2020-12-31,132.92,132.92,129.5422,129.87,129.87,40649,0,1
2020-12-30,132.54,134.3824,131.9454,132.92,132.92,46193,0,1
2020-12-29,135.31,135.31,130.66,131.96,131.96,66408,0,1
2020-12-28,136.15,136.72,134.0,134.17,134.17,55295,0,1
2020-12-24,135.63,135.63,133.61,134.22,134.22,18141,0,1
2020-12-23,133.53,135.4,132.75,134.7,134.7,35973,0,1
2020-12-22,133.54,136.25,132.93,133.06,133.06,52349,0,1
2020-12-21,130.98,134.25,130.25,133.71,133.71,82587,0,1
2020-12-18,133.94,136.87,132.61,134.59,134.59,234066,0,1
2020-12-17,130.41,134.62,127.68,134.15,134.15,76311,0,1
2020-12-16,133.5,133.98,130.01,130.41,130.41,63206,0,1
2020-12-15,129.76,132.92,127.64,132.68,132.68,141959,0,1
2020-12-14,129.31,129.31,127.105,127.92,127.92,64566,0,1
2020-12-11,126.88,129.0,126.88,127.89,127.89,53964,0,1
2020-12-10,127.72,129.58,126.81,128.07,128.07,40877,0,1
2020-12-09,132.65,133.22,129.06,129.61,129.61,56057,0,1
2020-12-08,129.64,132.23,127.32,131.23,131.23,102019,0,1
2020-12-07,128.67,130.905,128.63,130.48,130.48,50504,0,1
2020-12-04,127.92,130.21,126.56,129.3,129.3,51448,0,1
2020-12-03,126.5,128.875,125.41,126.74,126.74,43178,0,1
2020-12-02,129.5,129.67,126.82,127.41,127.41,77360,0,1
2020-12-01,127.81,130.68,126.5,129.63,129.63,61178,0,1
2020-11-30,126.86,128.94,124.5745,125.78,125.78,57579,0,1
2020-11-27,127.03,128.85,126.02,127.71,127.71,41716,0,1
2020-11-25,129.37,129.84,126.965,127.26,127.26,143634,0,1
2020-11-24,131.5,134.75,130.0,131.92,131.92,344579,0,1
2020-11-23,127.97,131.49,125.89,130.28,130.28,154211,0,1
2020-11-20,124.54,127.575,123.91,126.77,126.77,181127,0,1
2020-11-19,124.34,125.925,123.67,125.7,125.7,142006,0,1
2020-11-18,126.13,126.13,123.685,124.66,124.66,191848,0,1
2020-11-17,124.19,127.18,121.18,126.26,126.26,268158,0,1
2020-11-16,120.5,123.1087,118.71,121.15,121.15,84784,0,1
2020-11-13,117.9,119.68,117.2,119.41,119.41,55171,0,1
2020-11-12,120.57,120.57,114.91,116.44,116.44,134102,0,1
2020-11-11,118.39,120.88,115.8,120.72,120.72,82940,0,1
2020-11-10,114.38,118.74,112.92,117.18,117.18,368091,0,1
2020-11-09,126.55,130.62,112.54,113.09,113.09,416447,0,1
2020-11-06,124.38,125.04,119.95,121.32,121.32,193725,0,1
2020-11-05,119.78,124.58,119.78,123.41,123.41,197744,0,1
2020-11-04,115.3,118.31,115.3,118.21,118.21,164292,0,1
2020-11-03,115.43,118.72,114.22,117.69,117.69,188976,0,1
2020-11-02,111.34,116.44,110.0,113.26,113.26,168376,0,1
2020-10-30,111.45,111.76,108.22,110.03,110.03,221122,0,1
2020-10-29,109.47,112.72,108.48,112.05,112.05,142350,0,1
2020-10-28,107.05,110.56,106.01,109.53,109.53,101180,0,1
2020-10-27,110.32,112.9208,109.96,110.12,110.12,90477,0,1
2020-10-26,110.36,111.81,108.77,110.84,110.84,75483,0,1
2020-10-23,113.31,115.23,110.35,112.3,112.3,160942,0,1
2020-10-22,115.0,115.67,112.95,113.11,113.11,142937,0,1
2020-10-21,120.47,121.92,113.9,113.91,113.91,122602,0,1
2020-10-20,118.65,122.93,118.65,119.77,119.77,81627,0,1
2020-10-19,117.58,118.34,116.71,117.64,117.64,125431,0,1
2020-10-16,117.95,118.96,116.765,117.36,117.36,76293,0,1
2020-10-15,114.96,118.19,114.5,117.88,117.88,221432,0,1
2020-10-14,119.35,120.74,116.74,117.18,117.18,85907,0,1
2020-10-13,116.85,120.25,116.21,119.84,119.84,146663,0,1
2020-10-12,118.11,119.1,116.21,118.22,118.22,114336,0,1
2020-10-09,116.8,118.17,116.24,117.98,117.98,92463,0,1
2020-10-08,120.29,120.55,115.68,116.0,116.0,86962,0,1
2020-10-07,118.13,119.99,117.01,119.24,119.24,153756,0,1
2020-10-06,118.66,121.0,116.3727,116.77,116.77,134112,0,1
2020-10-05,113.73,117.49,113.73,117.26,117.26,134412,0,1
2020-10-02,109.0,113.51,109.0,112.64,112.64,103036,0,1
2020-10-01,107.26,111.54,107.15,111.41,111.41,210883,0,1
2020-09-30,104.37,110.48,104.37,106.3,106.3,321465,0,1
2020-09-29,105.18,108.08,104.03,104.48,104.48,157903,0,1
2020-09-28,107.63,109.02,104.26,105.5,105.5,184173,0,1
2020-09-25,106.8,109.83,104.97,105.92,105.92,169148,0,1
2020-09-24,104.7,105.28,102.85,103.98,103.98,116793,0,1
