timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,679.08,689.02,674.32,686.53,686.53,723533,0,1
2022-01-11,652.82,673.55,652.01,673.26,673.26,722200,0,1
2022-01-10,656.64,667.82,643.21,664.34,664.34,1298893,0,1
2022-01-07,697.88,703.215,668.39,669.06,669.06,1233439,0,1
2022-01-06,693.19,705.69,686.96,701.75,701.75,960435,0,1
2022-01-05,712.79,714.8999,690.61,690.67,690.67,1099456,0,1
2022-01-04,726.73,731.8492,702.45,712.0,712.0,1229964,0,1
2022-01-03,721.13,731.0599,711.83,725.47,725.47,838685,0,1
2021-12-31,720.0,725.87,717.2301,719.15,719.15,536772,0,1
2021-12-30,726.9,728.0,717.18,718.33,718.33,420424,0,1
2021-12-29,718.685,728.1654,716.1,726.59,726.59,577615,0,1
2021-12-28,724.91,728.38,714.64,715.96,715.96,616581,0,1
2021-12-27,701.87,724.0,702.79,723.51,723.51,791446,0,1
2021-12-23,694.48,706.942,693.375,698.72,698.72,697629,0,1
2021-12-22,678.48,692.03,672.92,691.22,691.22,759934,0,1
2021-12-21,679.55,687.06,665.14,683.26,683.26,1069944,0,1
2021-12-20,659.28,673.01,653.9,661.21,661.21,723309,0,1
2021-12-17,666.91,677.89,660.64,668.72,668.72,834147,0,1
2021-12-16,701.77,707.35,666.64,671.63,671.63,1086137,0,1
2021-12-15,679.99,698.8,665.38,697.94,697.94,1113663,0,1
2021-12-14,674.99,683.3873,668.14,679.35,679.35,843008,0,1
2021-12-13,705.79,708.05,684.0,686.92,686.92,544435,0,1
2021-12-10,711.13,714.1,694.55,706.0,706.0,735917,0,1
2021-12-09,708.11,719.91,697.27,699.31,699.31,911154,0,1
2021-12-08,705.0,718.31,705.0,713.83,713.83,952366,0,1
2021-12-07,677.74,709.56,677.0,706.46,706.46,1342744,0,1
2021-12-06,664.9278,670.77,642.43,667.18,667.18,1022987,0,1
2021-12-03,668.8,670.985,651.85,661.75,661.75,1017660,0,1
2021-12-02,685.2,684.95,655.89,661.58,661.58,1879979,0,1
2021-12-01,692.7,711.83,684.37,693.53,693.53,2269042,0,1
2021-11-30,679.28,693.0,668.14,679.85,679.85,1742691,0,1
2021-11-29,651.98,682.29,649.0201,680.54,680.54,1460608,0,1
2021-11-26,651.0,654.0868,638.41,641.98,641.98,640606,0,1
2021-11-24,656.4,661.54,645.28,660.79,660.79,937795,0,1
2021-11-23,648.1,662.31,641.26,661.43,661.43,1566376,0,1
2021-11-22,650.9173,661.06,642.12,647.09,647.09,1555757,0,1
2021-11-19,635.55,657.0,633.13,644.5,644.5,1618857,0,1
2021-11-18,636.74,637.27,624.79,635.63,635.63,827478,0,1
