timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,319.67,323.41,317.08,318.29,318.29,28654337,0,1
2022-01-11,313.3,316.61,309.89,314.99,314.99,23842598,0,1
2022-01-10,309.49,314.72,304.69,314.32,314.32,36032248,0,1
2022-01-07,314.21,316.5,310.09,314.11,314.11,25994440,0,1
2022-01-06,313.15,318.7,311.49,313.84,313.84,34036448,0,1
2022-01-05,325.75,326.07,315.98,316.2,316.2,33792937,0,1
2022-01-04,334.76,335.2,326.12,329.04,329.04,27519164,0,1
2022-01-03,335.12,338.0,329.78,334.74,334.74,21321376,0,1
2021-12-31,338.67,339.355,335.85,336.21,336.21,13090805,0,1
2021-12-30,341.97,343.13,338.82,339.32,339.32,13250183,0,1
2021-12-29,341.55,344.3,339.68,341.96,341.96,12613988,0,1
2021-12-28,343.15,343.81,340.32,341.25,341.25,12795178,0,1
2021-12-27,335.58,342.48,335.43,342.45,342.45,16370064,0,1
2021-12-23,332.93,336.39,332.73,334.49,334.49,15264175,0,1
2021-12-22,328.01,333.605,325.75,333.26,333.26,20630608,0,1
2021-12-21,323.1,327.73,319.8,327.37,327.37,20321038,0,1
2021-12-20,320.0,322.8,317.57,320.17,320.17,22364173,0,1
2021-12-17,320.86,324.92,317.25,323.65,323.65,30710229,0,1
2021-12-16,335.71,336.76,323.02,324.9,324.9,29095179,0,1
2021-12-15,328.61,335.19,324.5,334.66,334.66,26942858,0,1
2021-12-14,333.19,334.64,324.11,328.48,328.48,35628134,0,1
2021-12-13,340.68,343.79,339.08,339.44,339.44,15696910,0,1
2021-12-10,334.78,343.0,334.79,342.23,342.23,31293829,0,1
2021-12-09,334.68,336.489,332.12,333.08,333.08,16665744,0,1
2021-12-08,335.42,335.5,330.8,334.96,334.96,18703149,0,1
2021-12-07,331.57,335.8,330.1,334.93,334.93,24764149,0,1
2021-12-06,323.95,327.45,319.23,326.47,326.47,23621497,0,1
2021-12-03,331.87,332.7,318.03,323.15,323.15,33058531,0,1
2021-12-02,330.3,333.49,327.8028,329.49,329.49,24216210,0,1
2021-12-01,335.13,339.28,329.39,329.98,329.98,28523752,0,1
2021-11-30,335.58,337.78,328.99,330.58,330.58,25254910,0,1
2021-11-29,334.98,339.03,334.74,336.55,336.55,20898054,0,1
2021-11-26,334.65,337.93,328.12,329.79,329.79,19355805,0,1
2021-11-24,336.23,338.16,333.911,337.9,337.9,14158999,0,1
2021-11-23,336.91,339.45,333.56,337.75,337.75,21935462,0,1
2021-11-22,344.62,349.67,339.55,339.89,339.89,25384427,0,1
2021-11-19,342.71,345.1,342.2,343.04,343.04,16342970,0,1
2021-11-18,338.18,342.45,337.12,341.27,341.27,16090458,0,1
2021-11-17,339.21,342.19,338.0,339.15,339.15,15084648,0,1
2021-11-16,335.86,340.67,335.51,339.58,339.58,16733246,0,1
2021-11-15,337.54,337.93,334.034,336.08,336.08,13493757,0,1
2021-11-12,333.81,337.23,333.79,336.73,336.73,17166484,0,1
2021-11-11,331.73,333.7746,330.51,332.46,332.46,11678255,0,1
2021-11-10,334.69,334.69,329.92,330.8298,330.8298,19144354,0,1
2021-11-09,336.95,338.72,334.53,335.93,335.93,16322947,0,1
2021-11-08,337.22,337.65,334.44,336.93,336.93,14997921,0,1
2021-11-05,338.6,338.86,334.4217,336.11,336.11,18428508,0,1
2021-11-04,333.07,336.54,329.51,336.46,336.46,19740179,0,1
2021-11-03,334.15,334.9,330.65,333.98,333.98,16800906,0,1
2021-11-02,330.21,333.45,330.0,333.26,333.26,21366225,0,1
2021-11-01,331.4,331.49,326.37,329.38,329.38,22920008,0,1
2021-10-29,324.14,332.0,323.9,331.64,331.64,26504382,0,1
2021-10-28,324.32,324.87,321.3601,324.32,324.32,21324602,0,1
2021-10-27,316.0,326.0973,316.0,323.14,323.14,45222243,0,1
2021-10-26,310.81,312.395,308.5967,309.71,309.71,20748654,0,1
2021-10-25,309.54,309.54,306.46,308.3,308.3,13455241,0,1
2021-10-22,310.4,311.09,307.8,309.14,309.14,13841185,0,1
2021-10-21,307.1,311.02,306.36,310.75,310.75,13898987,0,1
2021-10-20,309.2,309.7,306.11,307.49,307.49,13474211,0,1
2021-10-19,308.22,309.3,307.22,308.26,308.26,14136905,0,1
2021-10-18,303.42,308.21,302.69,307.25,307.25,18400017,0,1
2021-10-15,302.46,304.45,300.5191,304.21,304.21,20154328,0,1
2021-10-14,299.1,303.27,297.83,302.76,302.76,21108514,0,1
2021-10-13,294.91,297.28,293.49,296.37,296.37,18206030,0,1
2021-10-12,295.36,295.48,292.35,292.88,292.88,14552212,0,1
2021-10-11,292.99,297.97,292.745,294.21,294.21,14636053,0,1
2021-10-08,296.17,296.6409,293.76,294.85,294.85,13671150,0,1
2021-10-07,295.07,296.64,293.92,294.94,294.94,16809593,0,1
2021-10-06,285.78,293.63,285.5093,293.11,293.11,23243982,0,1
2021-10-05,284.01,290.398,284.01,288.75,288.75,20416869,0,1
2021-10-04,287.49,287.75,280.25,283.14,283.14,25592919,0,1
2021-10-01,282.05,289.98,281.29,289.1,289.1,23262373,0,1
2021-09-30,285.66,287.83,281.62,281.75,281.75,25992741,0,1
2021-09-29,285.0,286.77,283.01,284.0,284.0,22234495,0,1
2021-09-28,289.87,290.78,282.75,283.52,283.52,35639238,0,1
2021-09-27,296.18,296.47,292.9449,294.17,294.17,19707219,0,1
2021-09-24,298.35,299.8,296.93,299.35,299.35,12285299,0,1
2021-09-23,298.96,300.9,297.5339,299.54,299.54,14811383,0,1
2021-09-22,296.72,300.22,294.51,298.58,298.58,21832759,0,1
2021-09-21,295.59,297.54,294.07,294.72,294.72,19019834,0,1
2021-09-20,296.33,298.72,289.52,294.26,294.26,30460159,0,1
2021-09-17,304.63,304.63,299.53,299.81,299.81,25813544,0,1
2021-09-16,303.88,305.31,300.76,305.29,305.29,15230748,0,1
2021-09-15,303.23,305.32,301.82,304.84,304.84,22595294,0,1
2021-09-14,299.51,301.39,298.1,299.92,299.92,17605322,0,1
2021-09-13,297.51,298.54,294.08,297.02,297.02,17945801,0,1
2021-09-10,298.52,299.92,295.38,295.7,295.7,16520171,0,1
2021-09-09,300.83,302.14,297.0,297.22,297.22,16448302,0,1
2021-09-08,299.73,300.61,297.4651,300.23,300.23,11955818,0,1
2021-09-07,301.02,301.09,298.2,300.1747,300.1747,14348493,0,1
2021-09-03,301.0,302.6,300.26,301.15,301.15,10544962,0,1
2021-09-02,302.1,303.3602,300.18,301.16,301.16,12818451,0,1
2021-09-01,302.8,305.19,301.49,301.8538,301.8538,15212397,0,1
2021-08-31,304.34,304.5,301.5,301.92,301.92,17377153,0,1
2021-08-30,301.03,304.22,301.03,303.56,303.56,13157640,0,1
2021-08-27,299.13,300.87,296.83,299.65,299.65,19223507,0,1
2021-08-26,300.99,302.429,298.96,299.06,299.06,15362606,0,1
2021-08-25,304.4,304.59,300.42,302.0,302.0,15539941,0,1
2021-08-24,305.01,305.65,302.0035,302.69,302.69,14480631,0,1
2021-08-23,303.26,305.4,301.85,304.58,304.58,18606383,0,1
2021-08-20,299.85,305.84,298.06,304.26,304.26,36482390,0,1
2021-08-19,288.89,297.47,288.64,296.81,296.81,25184591,0,1
2021-08-18,291.77,294.82,290.27,290.73,290.73,17378077,0,1
2021-08-17,292.4,293.43,291.08,293.21,293.21,16502071,0,1
2021-08-16,293.14,294.82,290.02,294.66,294.66,17516460,0,1
2021-08-13,289.56,292.9,289.3,292.86,292.86,15288984,0,1
2021-08-12,286.62,289.97,286.34,289.65,289.65,11218889,0,1
2021-08-11,287.18,288.66,285.86,286.98,286.98,11365812,0,1
2021-08-10,288.76,289.25,285.2,286.49,286.49,14614279,0,1
2021-08-09,289.77,291.55,287.81,288.36,288.36,11951632,0,1
2021-08-06,288.16,289.5,287.6238,289.46,289.46,10908082,0,1
2021-08-05,286.87,289.63,286.1,289.55,289.55,11786498,0,1
2021-08-04,286.0,287.5883,284.65,286.46,286.46,13255592,0,1
2021-08-03,285.51,287.23,284.21,287.12,287.12,14473180,0,1
2021-08-02,286.3,286.775,283.74,284.83,284.83,13305162,0,1
2021-07-30,285.34,286.66,283.91,284.95,284.95,16325594,0,1
2021-07-29,286.05,288.618,286.05,286.48,286.48,14861053,0,1
2021-07-28,288.95,290.15,283.8303,286.22,286.22,29596382,0,1
2021-07-27,289.31,289.575,282.95,287.0,287.0,25652275,0,1
2021-07-26,288.95,289.69,286.642,289.05,289.05,18670988,0,1
2021-07-23,287.37,289.99,286.51,289.7,289.7,19860738,0,1
2021-07-22,283.74,286.42,283.42,286.16,286.16,19071088,0,1
2021-07-21,278.74,281.52,277.29,281.38,281.38,18028230,0,1
2021-07-20,278.1,280.97,276.26,279.32,279.32,18633093,0,1
2021-07-19,279.11,280.37,274.45,277.05,277.05,25903899,0,1
2021-07-16,282.31,284.1,279.46,280.75,280.75,22815110,0,1
2021-07-15,282.03,282.51,279.83,281.04,281.04,19423787,0,1
2021-07-14,282.26,283.66,280.55,282.51,282.51,19299360,0,1
2021-07-13,277.59,282.8477,277.39,280.98,280.98,22602039,0,1
2021-07-12,278.94,279.77,276.58,277.32,277.32,13358203,0,1
2021-07-09,275.6,278.05,275.32,277.92,277.92,19294073,0,1
2021-07-08,276.82,278.73,274.87,277.53,277.53,20138896,0,1
2021-07-07,279.4,280.6945,277.15,280.0,280.0,19959634,0,1
2021-07-06,278.01,279.3698,274.3,277.66,277.66,24080166,0,1
2021-07-02,272.77,278.0,272.5,277.66,277.66,20947025,0,1
2021-07-01,269.66,271.84,269.59,271.72,271.72,13049694,0,1
2021-06-30,270.53,271.3598,269.6043,270.89,270.89,15264087,0,1
2021-06-29,268.88,271.65,267.98,271.4,271.4,16522614,0,1
2021-06-28,266.12,268.9,265.91,268.72,268.72,15758609,0,1
2021-06-25,266.3,267.25,264.76,265.02,265.02,15557867,0,1
2021-06-24,266.02,267.85,265.47,266.64,266.64,16700938,0,1
2021-06-23,265.5,266.83,264.43,265.27,265.27,15860725,0,1
2021-06-22,262.79,265.79,262.4,265.51,265.51,17932154,0,1
2021-06-21,259.97,263.52,257.92,262.63,262.63,20902459,0,1
2021-06-18,259.48,262.3,258.75,259.32,259.32,26737452,0,1
2021-06-17,256.15,261.75,256.01,260.91,260.91,21364887,0,1
2021-06-16,259.2,260.58,254.42,257.51,257.51,21617653,0,1
2021-06-15,259.79,259.99,257.68,258.52,258.52,14058679,0,1
2021-06-14,257.94,259.95,256.8,259.88,259.88,12911335,0,1
2021-06-11,257.84,258.4868,256.61,257.89,257.89,15766666,0,1
2021-06-10,254.3,257.46,253.64,257.24,257.24,20638506,0,1
2021-06-09,254.18,255.53,253.21,253.62,253.62,15076631,0,1
2021-06-08,255.3,256.01,252.51,252.54,252.54,17536478,0,1
2021-06-07,249.84,254.09,249.81,253.87,253.87,18401080,0,1
