timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,366.14,375.69,355.15,358.08,358.08,353779,0,1
2022-01-11,364.02,369.9,357.85,367.41,367.41,392087,0,1
2022-01-10,352.82,364.5,342.99,364.07,364.07,565422,0,1
2022-01-07,356.12,362.07,351.02,355.83,355.83,680888,0,1
2022-01-06,357.42,362.82,350.03,356.77,356.77,1141468,0,1
2022-01-05,388.49,388.49,358.735,360.95,360.95,1260331,0,1
2022-01-04,405.55,405.55,384.41,391.86,391.86,991390,0,1
2022-01-03,415.19,416.085,399.39,404.73,404.73,548500,0,1
2021-12-31,418.2,418.93,414.12,415.11,415.11,194401,0,1
2021-12-30,418.38,422.83,416.34,417.72,417.72,173686,0,1
2021-12-29,420.0,422.15,410.65,416.98,416.98,115196,0,1
2021-12-28,429.5,429.93,420.47,421.3,421.3,119447,0,1
2021-12-27,423.9,427.31,420.69,426.72,426.72,246981,0,1
2021-12-23,421.13,426.29,417.08,423.82,423.82,106163,0,1
2021-12-22,416.99,427.94,413.82,421.76,421.76,258888,0,1
2021-12-21,404.01,418.47,404.01,416.54,416.54,266555,0,1
2021-12-20,400.87,406.82,397.51,400.71,400.71,353860,0,1
2021-12-17,397.23,408.93,389.2,406.48,406.48,326819,0,1
2021-12-16,415.0,416.84,395.87,399.78,399.78,249262,0,1
2021-12-15,405.78,415.89,399.73,414.62,414.62,181364,0,1
2021-12-14,409.23,413.75,398.01,405.35,405.35,296572,0,1
2021-12-13,419.0,424.22,413.23,415.51,415.51,147497,0,1
2021-12-10,427.31,432.41,415.175,419.69,419.69,189547,0,1
2021-12-09,435.49,437.6287,424.04,424.36,424.36,130234,0,1
2021-12-08,435.6,438.905,425.0,435.55,435.55,197653,0,1
2021-12-07,429.17,442.38,427.53,434.99,434.99,314395,0,1
2021-12-06,415.24,422.65,408.0,418.84,418.84,262858,0,1
2021-12-03,441.58,440.15,409.33,417.815,417.815,489144,0,1
2021-12-02,420.43,441.96,420.43,438.95,438.95,417610,0,1
2021-12-01,443.87,446.03,421.63,422.14,422.14,291202,0,1
2021-11-30,444.73,450.3,434.21,437.57,437.57,220517,0,1
2021-11-29,445.1,449.57,439.29,447.42,447.42,254347,0,1
2021-11-26,449.5,457.7,436.28,438.24,438.24,217177,0,1
2021-11-24,443.31,454.93,440.61,452.3,452.3,244331,0,1
2021-11-23,449.65,454.346,436.34,448.26,448.26,311059,0,1
2021-11-22,470.1,470.1,448.2,452.57,452.57,226158,0,1
2021-11-19,474.38,475.19,463.71,470.53,470.53,257716,0,1
2021-11-18,475.77,478.68,468.9,469.33,469.33,254109,0,1
2021-11-17,486.0,486.0,470.975,477.23,477.23,229676,0,1
2021-11-16,482.79,490.575,481.55,486.01,486.01,188414,0,1
2021-11-15,493.57,493.57,480.345,484.17,484.17,247498,0,1
2021-11-12,489.0,491.45,484.38,490.23,490.23,224900,0,1
2021-11-11,495.37,495.486,487.27,488.34,488.34,222879,0,1
2021-11-10,503.25,506.64,486.98,491.87,491.87,210963,0,1
2021-11-09,513.25,516.65,502.0,507.6,507.6,176413,0,1
2021-11-08,509.31,514.96,507.36,511.44,511.44,228863,0,1
2021-11-05,515.2,522.84,503.84,504.48,504.48,404037,0,1
2021-11-04,519.19,520.0,510.684,511.81,511.81,386298,0,1
2021-11-03,537.0,537.0,501.2465,512.32,512.32,710203,0,1
2021-11-02,557.73,558.97,547.19,552.6,552.6,374156,0,1
2021-11-01,547.93,553.76,543.01,546.25,546.25,234664,0,1
2021-10-29,534.14,548.96,534.14,547.79,547.79,141196,0,1
2021-10-28,533.99,539.97,531.48,537.32,537.32,161115,0,1
2021-10-27,536.26,538.6,528.79,531.54,531.54,174097,0,1
2021-10-26,541.7,542.76,533.92,537.05,537.05,132694,0,1
2021-10-25,538.28,540.96,533.71,538.54,538.54,207649,0,1
2021-10-22,535.0,546.69,534.505,536.22,536.22,177418,0,1
2021-10-21,512.0,533.97,512.0,533.97,533.97,204511,0,1
