timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,388.47,390.2,385.01,387.42,387.42,49549426,0,1
2022-01-11,379.38,385.9899,377.2182,385.93,385.93,60904209,0,1
2022-01-10,374.82,380.64,369.31,380.34,380.34,81898122,0,1
2022-01-07,384.03,385.76,378.04,379.82,379.82,65194171,0,1
2022-01-06,382.39,387.35,380.13,384.06,384.06,65874660,0,1
2022-01-05,394.74,395.89,384.03,384.15,384.15,70785657,0,1
2022-01-04,402.24,402.29,393.288,396.49,396.49,56019114,0,1
2022-01-03,399.05,401.94,396.88,401.78,401.78,36354680,0,1
2021-12-31,399.69,401.0589,397.34,397.55,397.55,31183664,0,1
2021-12-30,401.31,403.5699,399.75,400.14,400.14,21561553,0,1
2021-12-29,401.78,403.05,399.11,401.6,401.6,28261315,0,1
2021-12-28,404.36,404.58,400.71,401.71,401.71,29912090,0,1
2021-12-27,398.26,403.48,398.2194,403.4,403.4,27658217,0,1
2021-12-23,394.34,398.425,394.14,396.99,396.99,26417131,0,1
2021-12-22,388.91,394.16,388.23,393.94,393.94,33123242,0,1
2021-12-21,384.05,389.53,380.201,389.21,389.21,44930527,0,1
2021-12-20,379.59,381.5,377.47,380.66,380.66,55664830,0,1
2021-12-17,383.33,389.19,381.77,384.93,384.93,73158463,0,1
2021-12-16,398.04,398.475,385.21,386.87,386.87,76808297,0,1
2021-12-15,387.98,397.4198,383.88,397.05,397.05,66747618,0,1
2021-12-14,387.3,390.09,382.24,388.35,388.35,65560115,0,1
2021-12-13,398.0,398.325,391.88,392.24,392.24,37850098,0,1
2021-12-10,396.59,398.28,393.36,398.06,398.06,48107926,0,1
2021-12-09,398.35,400.2,393.5299,393.74,393.74,46211653,0,1
2021-12-08,398.17,399.82,396.22,399.62,399.62,36084028,0,1
2021-12-07,392.98,398.46,392.98,397.95,397.95,51092063,0,1
2021-12-06,383.63,387.6,379.3,386.31,386.31,62920437,0,1
2021-12-03,391.29,392.34,378.9,383.21,383.21,97899094,0,1
2021-12-02,385.8,391.74,384.34,389.92,389.92,77990322,0,1
2021-12-01,398.29,400.48,386.64,387.04,387.04,71448918,0,1
2021-11-30,398.78,401.19,391.75,393.63,393.63,75919223,0,1
2021-11-29,395.86,400.73,395.14,399.62,399.62,44972649,0,1
2021-11-26,396.11,397.54,389.77,390.99,390.99,45638841,0,1
2021-11-24,394.91,399.05,392.54,398.89,398.89,42595659,0,1
2021-11-23,398.11,400.23,392.92,397.48,397.48,65476821,0,1
2021-11-22,405.57,408.71,399.19,399.34,399.34,57432911,0,1
2021-11-19,403.43,405.3,402.58,403.97,403.97,39064627,0,1
2021-11-18,399.72,402.27,397.45,401.75,401.75,40427984,0,1
2021-11-17,397.75,399.7196,396.64,397.66,397.66,25670512,0,1
2021-11-16,393.87,397.93,393.66,397.5,397.5,24351631,0,1
2021-11-15,395.91,396.24,392.095,394.63,394.63,30051286,0,1
2021-11-12,391.77,395.25,390.13,394.72,394.72,30500126,0,1
2021-11-11,392.57,392.75,390.24,390.62,390.62,28990905,0,1
2021-11-10,392.47,395.36,387.53,389.49,389.49,49753283,0,1
2021-11-09,399.16,399.57,393.92,395.28,395.28,48114670,0,1
2021-11-08,398.57,399.62,397.4,398.06,398.06,26737662,0,1
2021-11-05,400.04,400.99,397.16,398.57,398.57,37799298,0,1
2021-11-04,394.46,399.2,393.92,398.24,398.24,37357484,0,1
2021-11-03,389.53,393.61,388.48,393.235,393.235,31575664,0,1
2021-11-02,386.8,389.54,386.75,389.12,389.12,22377397,0,1
2021-11-01,386.56,387.56,384.42,387.43,387.43,26942766,0,1
2021-10-29,381.06,386.28,380.7,386.08,386.08,31758575,0,1
2021-10-28,381.95,384.48,381.155,384.2,384.2,31146606,0,1
2021-10-27,379.58,383.15,379.31,379.95,379.95,38541477,0,1
2021-10-26,380.22,382.71,377.905,378.88,378.88,41795078,0,1
2021-10-25,375.57,378.87,373.56,377.92,377.92,27198872,0,1
2021-10-22,375.98,376.97,372.385,374.03,374.03,32854830,0,1
2021-10-21,374.14,377.47,373.85,377.27,377.27,20890389,0,1
2021-10-20,375.94,376.565,373.46,374.98,374.98,27504995,0,1
2021-10-19,373.74,375.52,372.6974,375.44,375.44,25228935,0,1
2021-10-18,367.6,372.87,366.99,372.65,372.65,28085085,0,1
2021-10-15,367.88,369.06,366.82,368.99,368.99,34692516,0,1
2021-10-14,363.69,366.85,363.01,366.6,366.6,40243149,0,1
2021-10-13,359.49,360.69,357.43,360.0,360.0,36323036,0,1
2021-10-12,359.88,360.33,356.48,357.15,357.15,38756337,0,1
2021-10-11,359.58,363.2,358.3,358.39,358.39,31733439,0,1
2021-10-08,364.1,364.3166,360.61,361.1,361.1,35191315,0,1
2021-10-07,362.8,365.69,362.25,362.94,362.94,35484956,0,1
2021-10-06,354.07,359.95,353.15,359.68,359.68,51746178,0,1
2021-10-05,353.71,359.69,353.48,357.38,357.38,43632992,0,1
2021-10-04,358.52,358.86,350.32,352.7,352.7,71136235,0,1
2021-10-01,358.6,361.25,354.38,360.1,360.1,50606474,0,1
2021-09-30,361.02,362.68,357.1,357.73,357.73,56492511,0,1
2021-09-29,361.18,363.37,358.635,359.36,359.36,53671853,0,1
2021-09-28,365.67,370.302,359.35,359.85,359.85,90070657,0,1
2021-09-27,370.2,371.2516,367.73,370.39,370.39,38162379,0,1
2021-09-24,370.65,373.76,370.27,373.33,373.33,30671009,0,1
2021-09-23,370.76,374.04,370.099,372.91,372.91,39459122,0,1
2021-09-22,367.09,371.07,365.9584,369.55,369.55,44140590,0,1
2021-09-21,367.58,368.81,364.99,366.09,366.09,38501039,0,1
2021-09-20,367.49,369.25,360.93,365.82,365.82,67517859,0,1
2021-09-17,377.82,377.87,372.76,373.82,373.82,52313395,0,1
2021-09-16,376.71,378.9,374.695,378.34,378.34,32691551,0,1
2021-09-15,375.73,378.41,373.37,378.01,378.01,31050781,0,1
2021-09-14,377.84,378.61,374.28,375.18,375.18,38873176,0,1
2021-09-13,378.99,379.43,374.22,376.36,376.36,45890350,0,1
2021-09-10,381.23,381.97,376.245,376.5,376.5,37288749,0,1
2021-09-09,381.01,382.15,379.22,379.42,379.42,27459982,0,1
2021-09-08,381.93,381.93,378.5503,380.83,380.83,30418427,0,1
2021-09-07,381.65,382.778,380.4882,382.11,382.11,21728488,0,1
2021-09-03,379.22,381.98,379.2,381.59,381.59,21194594,0,1
2021-09-02,381.97,382.31,379.15,380.42,380.42,23497766,0,1
2021-09-01,381.05,382.71,380.37,380.59,380.59,25472478,0,1
2021-08-31,380.51,380.579,378.36,379.89,379.89,26969165,0,1
2021-08-30,376.84,380.76,376.83,380.32,380.32,25366938,0,1
2021-08-27,373.07,376.56,372.57,376.08,376.08,24572719,0,1
2021-08-26,373.92,374.62,371.97,372.4,372.4,27370249,0,1
2021-08-25,374.63,375.39,373.855,374.57,374.57,18232712,0,1
2021-08-24,373.83,374.99,373.36,374.39,374.39,19571271,0,1
2021-08-23,368.8,373.935,368.78,373.2,373.2,29187702,0,1
2021-08-20,365.05,368.14,364.74,367.75,367.75,35791235,0,1
2021-08-19,360.22,365.68,359.96,363.97,363.97,43707421,0,1
2021-08-18,365.18,366.62,361.865,362.2,362.2,33486908,0,1
2021-08-17,366.15,367.15,363.23,365.71,365.71,41792226,0,1
2021-08-16,367.67,369.02,363.7,368.97,368.97,33063369,0,1
2021-08-13,367.88,369.16,367.38,368.82,368.82,17361100,0,1
2021-08-12,365.68,367.9,364.295,367.59,367.59,23566034,0,1
2021-08-11,368.14,368.65,364.84,366.23,366.23,28647403,0,1
2021-08-10,369.26,369.56,365.62,366.85,366.85,32409565,0,1
2021-08-09,368.52,369.27,367.39,368.7,368.7,21446066,0,1
2021-08-06,368.35,369.37,366.905,368.06,368.06,29063191,0,1
2021-08-05,368.14,369.91,367.45,369.78,369.78,19312675,0,1
2021-08-04,366.76,368.32,365.63,367.34,367.34,27414778,0,1
2021-08-03,365.29,366.93,362.0,366.77,366.77,33439408,0,1
2021-08-02,366.28,366.88,363.87,364.52,364.52,24729226,0,1
2021-07-30,362.45,365.17,362.41,364.52,364.52,31311587,0,1
2021-07-29,365.25,367.6794,365.25,366.5,366.5,20620668,0,1
2021-07-28,365.6,367.45,363.24,365.84,365.84,38442770,0,1
2021-07-27,368.19,368.22,360.16,364.44,364.44,53754641,0,1
2021-07-26,367.49,368.89,366.601,368.47,368.47,25290598,0,1
2021-07-23,365.31,368.485,363.9157,368.07,368.07,28722237,0,1
2021-07-22,361.75,363.96,361.75,363.94,363.94,27937961,0,1
2021-07-21,358.35,361.54,358.12,361.45,361.45,26786809,0,1
2021-07-20,355.65,360.28,353.8,358.74,358.74,36532691,0,1
2021-07-19,354.05,355.18,352.04,354.65,354.65,58254394,0,1
2021-07-16,361.41,362.41,357.24,357.59,357.59,42348080,0,1
2021-07-15,362.98,363.19,358.46,360.44,360.44,48506072,0,1
2021-07-14,364.81,365.49,362.22,362.97,362.97,32844978,0,1
2021-07-13,362.04,365.465,361.54,362.36,362.36,35870257,0,1
2021-07-12,362.45,362.89,360.83,362.42,362.42,22879511,0,1
2021-07-09,358.17,361.5,357.57,361.0,361.0,30551524,0,1
2021-07-08,355.74,359.65,354.42,358.86,358.86,44366319,0,1
2021-07-07,362.45,362.76,358.94,360.83,360.83,33173855,0,1
2021-07-06,359.27,360.48,356.49,360.16,360.16,36231290,0,1
2021-07-02,356.54,358.97,356.28,358.65,358.65,25876531,0,1
2021-07-01,354.07,355.09,352.68,354.59,354.59,27134636,0,1
2021-06-30,354.82,355.23,353.83,354.4602,354.4602,29696673,0,1
2021-06-29,353.53,355.0199,352.67,354.96,354.96,26843364,0,1
2021-06-28,350.78,353.85,350.72,353.68,353.68,35144432,0,1
2021-06-25,350.47,350.72,348.84,349.47,349.47,24735610,0,1
2021-06-24,349.74,351.46,349.17,349.85,349.85,30773127,0,1
2021-06-23,347.51,348.92,346.88,347.66,347.66,24669356,0,1
2021-06-22,344.15,348.03,343.84,347.52,347.52,27066231,0,1
2021-06-21,342.43,344.69,340.15,344.31,344.31,28790982,0,1
2021-06-18,343.63,344.8082,341.86,342.62,342.62,51227049,0,1
2021-06-17,339.97,346.38,339.92,345.34,345.34,55521045,0,1
2021-06-16,342.74,343.84,337.45,340.94,340.94,52864851,0,1
