timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,486.0,491.9499,467.7308,473.66,473.66,500395,0,1
2022-01-11,478.98,487.03,472.0,481.955,481.955,355502,0,1
2022-01-10,486.98,481.0,463.71,479.5,479.5,712446,0,1
2022-01-07,512.23,520.6499,490.3785,494.4,494.4,602716,0,1
2022-01-06,513.68,525.81,496.6324,517.06,517.06,402504,0,1
2022-01-05,524.0,533.37,503.7801,505.85,505.85,552835,0,1
2022-01-04,543.6,548.53,525.6301,530.09,530.09,328216,0,1
2022-01-03,540.45,556.59,537.39,538.84,538.84,311425,0,1
2021-12-31,534.58,542.7,527.05,535.97,535.97,243087,0,1
2021-12-30,533.06,546.0,531.7082,536.77,536.77,277704,0,1
2021-12-29,534.7,538.0,527.61,533.6,533.6,319860,0,1
2021-12-28,542.45,546.6,528.3,528.99,528.99,390693,0,1
2021-12-27,545.0,550.5699,537.66,541.63,541.63,270254,0,1
2021-12-23,549.09,552.3499,541.0101,546.47,546.47,148291,0,1
2021-12-22,548.79,554.03,538.98,544.855,544.855,269475,0,1
2021-12-21,539.8,550.325,536.41,548.19,548.19,320165,0,1
2021-12-20,543.04,544.15,522.91,527.8,527.8,325085,0,1
2021-12-17,542.0,560.0,531.55,553.65,553.65,455989,0,1
2021-12-16,572.0,574.9999,537.2301,546.26,546.26,441051,0,1
2021-12-15,565.59,569.7399,545.37,567.51,567.51,376818,0,1
2021-12-14,557.82,574.245,552.22,567.61,567.61,367226,0,1
2021-12-13,602.75,611.66,564.69,567.25,567.25,318475,0,1
2021-12-10,608.45,615.0,582.3,602.89,602.89,848148,0,1
2021-12-09,625.63,658.51,607.11,609.75,609.75,2371957,0,1
2021-12-08,576.04,583.75,570.0001,576.96,576.96,806118,0,1
2021-12-07,577.03,586.75,572.7364,576.34,576.34,329231,0,1
2021-12-06,540.0,571.0,539.91,562.7,562.7,528026,0,1
2021-12-03,564.8,568.03,525.0101,537.12,537.12,478124,0,1
2021-12-02,565.0,574.8499,554.2301,560.63,560.63,343407,0,1
2021-12-01,590.23,600.87,564.56,565.48,565.48,396098,0,1
2021-11-30,597.42,598.0099,575.72,583.18,583.18,347639,0,1
2021-11-29,607.7,607.7,595.575,597.07,597.07,274536,0,1
2021-11-26,596.0,607.93,593.73,599.3,599.3,119480,0,1
2021-11-24,599.04,610.4161,590.47,605.08,605.08,265216,0,1
2021-11-23,621.04,621.5976,598.0798,603.91,603.91,574791,0,1
2021-11-22,643.77,645.195,624.515,627.11,627.11,391865,0,1
2021-11-19,639.91,651.49,637.27,645.56,645.56,241350,0,1
2021-11-18,628.06,645.0,623.0001,643.49,643.49,320054,0,1
2021-11-17,656.0,656.055,618.62,624.425,624.425,502066,0,1
2021-11-16,649.29,656.8999,642.01,650.95,650.95,258373,0,1
2021-11-15,639.14,653.25,637.88,649.29,649.29,271078,0,1
2021-11-12,629.8,638.415,626.0,635.2001,635.2001,243616,0,1
2021-11-11,641.62,643.99,629.4,635.43,635.43,253992,0,1
2021-11-10,648.74,648.74,631.095,636.84,636.84,346921,0,1
2021-11-09,657.5,664.0,649.51,652.91,652.91,217247,0,1
2021-11-08,662.76,665.9699,642.51,657.82,657.82,255944,0,1
2021-11-05,667.69,670.95,652.75,660.23,660.23,315354,0,1
2021-11-04,678.96,680.9,661.33,662.36,662.36,277992,0,1
2021-11-03,656.92,689.805,655.85,676.56,676.56,368115,0,1
2021-11-02,667.68,669.54,653.88,659.69,659.69,287164,0,1
2021-11-01,664.0,676.49,656.5,668.82,668.82,266396,0,1
2021-10-29,652.88,664.13,651.01,659.21,659.21,201404,0,1
2021-10-28,661.28,663.97,656.76,660.0,660.0,169519,0,1
2021-10-27,664.7,664.7,649.61,653.8,653.8,211773,0,1
2021-10-26,674.5,675.0062,652.0,659.46,659.46,236957,0,1
2021-10-25,667.67,672.98,652.0,669.87,669.87,319931,0,1
2021-10-22,668.87,673.635,659.85,667.22,667.22,262512,0,1
2021-10-21,672.95,681.04,665.665,672.05,672.05,208244,0,1
2021-10-20,675.0,687.88,675.0,677.66,677.66,207700,0,1
2021-10-19,688.43,699.14,673.6,675.29,675.29,289630,0,1
2021-10-18,657.43,698.75,657.395,689.77,689.77,637582,0,1
2021-10-15,657.7,673.91,654.9285,659.06,659.06,408179,0,1
2021-10-14,638.5,653.78,637.25,652.76,652.76,327175,0,1
2021-10-13,645.28,645.9845,632.3,639.01,639.01,271940,0,1
2021-10-12,642.23,649.06,636.71,645.63,645.63,273944,0,1
2021-10-11,645.3,651.0,638.06,638.07,638.07,170514,0,1
2021-10-08,645.62,651.9999,636.1001,646.79,646.79,271224,0,1
2021-10-07,643.21,657.89,640.7,652.46,652.46,454571,0,1
2021-10-06,632.07,637.1647,622.4601,629.98,629.98,287915,0,1
2021-10-05,637.45,648.88,631.2101,635.92,635.92,316117,0,1
2021-10-04,646.98,648.3234,620.0,631.8,631.8,669819,0,1
2021-10-01,665.0,667.05,641.0,646.34,646.34,803050,0,1
2021-09-30,686.94,688.6899,661.39,665.74,665.74,917953,0,1
2021-09-29,688.88,696.48,677.26,694.4,694.4,373262,0,1
2021-09-28,696.67,700.63,682.7,683.66,683.66,421857,0,1
2021-09-27,683.03,708.58,682.91,704.65,704.65,340763,0,1
2021-09-24,679.0,695.63,674.0101,686.0,686.0,234986,0,1
2021-09-23,694.41,706.65,683.76,685.29,685.29,297922,0,1
2021-09-22,675.78,694.46,672.26,685.32,685.32,258285,0,1
2021-09-21,675.0,682.28,656.01,673.91,673.91,369861,0,1
2021-09-20,661.64,674.78,655.9601,666.99,666.99,458220,0,1
2021-09-17,680.0,681.82,669.92,671.75,671.75,362708,0,1
2021-09-16,681.1,691.42,673.94,686.46,686.46,331307,0,1
2021-09-15,686.36,694.58,674.01,685.72,685.72,446237,0,1
2021-09-14,700.01,706.9,690.1001,690.94,690.94,292074,0,1
2021-09-13,692.24,705.0,680.48,699.95,699.95,398949,0,1
2021-09-10,721.32,733.0999,692.54,694.75,694.75,767375,0,1
2021-09-09,702.25,733.99,692.01,725.195,725.195,1930005,0,1
2021-09-08,665.15,673.72,647.99,672.65,672.65,817882,0,1
2021-09-07,683.7,686.0,663.03,664.13,664.13,396735,0,1
2021-09-03,672.0,684.77,660.0,678.6,678.6,388599,0,1
2021-09-02,707.0,711.6799,668.705,672.92,672.92,844850,0,1
2021-09-01,701.3,710.54,699.04,704.87,704.87,243293,0,1
2021-08-31,711.95,712.05,692.42,700.66,700.66,317378,0,1
2021-08-30,711.48,730.5282,709.31,715.83,715.83,320218,0,1
2021-08-27,708.98,716.1999,702.9701,706.01,706.01,208217,0,1
2021-08-26,726.81,726.81,697.5201,709.5,709.5,389596,0,1
2021-08-25,703.55,711.42,691.17,708.43,708.43,280249,0,1
2021-08-24,698.01,708.0,693.2201,700.69,700.69,144398,0,1
2021-08-23,695.7,701.95,691.3501,693.1,693.1,194300,0,1
2021-08-20,677.89,691.98,664.76,690.93,690.93,305119,0,1
2021-08-19,673.47,683.38,666.0001,673.92,673.92,283951,0,1
2021-08-18,688.0,700.175,681.27,684.3899,684.3899,289977,0,1
2021-08-17,704.47,704.47,676.38,688.37,688.37,409812,0,1
2021-08-16,712.0,718.91,697.021,715.76,715.76,212681,0,1
2021-08-13,740.0,740.25,710.16,723.52,723.52,380835,0,1
2021-08-12,733.81,744.56,725.0001,739.0,739.0,295764,0,1
2021-08-11,721.21,741.58,717.4926,734.32,734.32,516429,0,1
2021-08-10,689.48,724.8799,689.48,720.39,720.39,459303,0,1
2021-08-09,675.01,700.74,670.8401,688.76,688.76,341225,0,1
2021-08-06,687.7,695.29,673.47,675.18,675.18,225720,0,1
2021-08-05,678.0,688.49,674.62,679.61,679.61,198316,0,1
2021-08-04,661.85,694.99,658.99,676.07,676.07,426652,0,1
2021-08-03,658.17,662.64,649.17,660.98,660.98,218069,0,1
2021-08-02,667.99,670.8,657.48,657.48,657.48,255234,0,1
2021-07-30,663.58,675.0,658.83,662.82,662.82,246741,0,1
2021-07-29,674.53,684.35,666.8386,670.34,670.34,276083,0,1
2021-07-28,675.7,679.06,670.43,673.2,673.2,122157,0,1
2021-07-27,676.19,676.19,658.25,673.8,673.8,199582,0,1
2021-07-26,683.01,687.29,673.343,677.69,677.69,158839,0,1
2021-07-23,680.0,691.74,674.4501,685.14,685.14,219548,0,1
2021-07-22,671.22,678.26,663.51,675.9,675.9,192659,0,1
2021-07-21,663.06,683.41,662.31,674.61,674.61,224981,0,1
2021-07-20,652.76,665.23,644.0,659.63,659.63,289244,0,1
2021-07-19,643.56,661.0,640.8867,651.06,651.06,302612,0,1
2021-07-16,669.93,673.94,657.7401,661.64,661.64,321594,0,1
2021-07-15,677.64,677.64,656.5963,668.01,668.01,304915,0,1
2021-07-14,715.2,716.41,679.0,679.7,679.7,397419,0,1
2021-07-13,712.25,718.39,703.67,708.98,708.98,274045,0,1
