timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,283.19,291.92,279.18,283.47,283.47,233632,0,1
2022-01-11,285.0,285.02,272.51,279.5,279.5,303798,0,1
2022-01-10,281.44,284.91,268.73,284.91,284.91,388848,0,1
2022-01-07,294.13,297.5725,282.34,282.49,282.49,241365,0,1
2022-01-06,295.89,298.4,290.7596,295.15,295.15,236692,0,1
2022-01-05,314.29,315.4,291.08,292.16,292.16,286430,0,1
2022-01-04,317.26,322.28,310.125,317.86,317.86,226313,0,1
2022-01-03,336.44,342.99,310.8561,315.24,315.24,272741,0,1
2021-12-31,331.48,339.3,330.4468,337.18,337.18,104992,0,1
2021-12-30,336.0,340.81,332.63,333.08,333.08,106661,0,1
2021-12-29,330.82,336.97,328.53,335.87,335.87,89299,0,1
2021-12-28,333.05,336.8,327.77,329.68,329.68,122473,0,1
2021-12-27,323.8,335.35,323.8,333.24,333.24,154708,0,1
2021-12-23,315.37,325.175,315.37,323.43,323.43,98006,0,1
2021-12-22,315.02,317.39,310.04,314.41,314.41,107928,0,1
2021-12-21,304.2,315.975,302.555,314.27,314.27,145684,0,1
2021-12-20,299.5,303.98,288.23,302.15,302.15,224024,0,1
2021-12-17,310.09,313.85,301.35,304.57,304.57,274762,0,1
2021-12-16,336.42,337.96,309.07,310.98,310.98,319390,0,1
2021-12-15,321.77,327.99,316.01,327.95,327.95,248543,0,1
2021-12-14,321.36,328.15,315.9406,320.81,320.81,219531,0,1
2021-12-13,333.21,334.97,325.4414,327.83,327.83,101426,0,1
2021-12-10,329.95,334.95,327.179,328.95,328.95,130266,0,1
2021-12-09,332.17,338.515,328.92,329.83,329.83,167257,0,1
2021-12-08,339.06,338.0,327.15,329.97,329.97,196458,0,1
2021-12-07,325.46,344.445,320.46,336.02,336.02,388566,0,1
2021-12-06,322.99,322.99,312.35,318.92,318.92,196056,0,1
2021-12-03,321.63,324.38,313.97,318.66,318.66,175693,0,1
2021-12-02,315.95,321.39,312.17,319.59,319.59,340784,0,1
2021-12-01,340.45,340.45,316.01,316.02,316.02,182716,0,1
2021-11-30,333.54,334.53,323.39,330.82,330.82,165387,0,1
2021-11-29,330.64,343.59,328.24,334.6,334.6,188768,0,1
2021-11-26,333.44,341.52,331.08,335.19,335.19,110160,0,1
2021-11-24,341.07,347.55,336.11,344.4,344.4,310978,0,1
2021-11-23,348.16,357.08,339.13,344.67,344.67,296088,0,1
2021-11-22,360.37,361.39,349.111,349.29,349.29,226084,0,1
2021-11-19,358.82,362.465,350.08,358.82,358.82,196792,0,1
2021-11-18,365.06,365.06,348.05,354.64,354.64,309761,0,1
2021-11-17,358.69,365.5,352.81,364.66,364.66,300529,0,1
2021-11-16,342.87,358.33,342.505,358.065,358.065,243951,0,1
2021-11-15,346.98,348.06,339.9,344.0375,344.0375,167995,0,1
2021-11-12,341.19,348.99,340.2672,344.09,344.09,298783,0,1
2021-11-11,338.19,339.68,333.62,339.54,339.54,178874,0,1
2021-11-10,336.34,340.56,328.26,332.34,332.34,198221,0,1
2021-11-09,348.47,352.3316,336.5,339.44,339.44,393862,0,1
2021-11-08,343.81,352.92,338.2,352.0,352.0,413080,0,1
2021-11-05,354.0,359.75,332.49,342.54,342.54,382356,0,1
2021-11-04,343.99,354.62,339.5,351.76,351.76,411019,0,1
2021-11-03,332.88,345.87,330.29,345.34,345.34,427168,0,1
2021-11-02,329.64,341.39,327.1567,334.56,334.56,407006,0,1
2021-11-01,315.41,329.12,311.79,327.94,327.94,328593,0,1
2021-10-29,314.32,315.83,308.11,312.36,312.36,258256,0,1
2021-10-28,296.8,316.985,291.5001,311.54,311.54,568493,0,1
2021-10-27,274.79,280.05,272.54,273.89,273.89,232355,0,1
2021-10-26,277.42,277.75,273.16,275.79,275.79,143594,0,1
2021-10-25,272.74,278.23,271.36,275.17,275.17,161930,0,1
2021-10-22,268.41,273.66,268.41,271.84,271.84,125568,0,1
2021-10-21,266.43,269.9699,266.12,267.12,267.12,88130,0,1
2021-10-20,261.97,267.08,259.52,265.91,265.91,89033,0,1
2021-10-19,266.6,266.6,260.26,260.62,260.62,82824,0,1
2021-10-18,261.5,266.06,260.465,263.49,263.49,133763,0,1
2021-10-15,257.2,264.42,256.33,261.57,261.57,243393,0,1
2021-10-14,250.36,253.39,248.43,253.01,253.01,106052,0,1
2021-10-13,251.96,252.5,246.55,247.02,247.02,85115,0,1
2021-10-12,254.81,255.265,250.97,251.07,251.07,102214,0,1
2021-10-11,254.5,255.87,251.8,254.09,254.09,62734,0,1
2021-10-08,253.62,255.69,249.51,254.4,254.4,242887,0,1
2021-10-07,250.9,256.3899,250.9,252.38,252.38,148420,0,1
2021-10-06,241.11,249.97,240.935,248.82,248.82,197317,0,1
2021-10-05,240.4,245.23,235.645,243.24,243.24,137682,0,1
2021-10-04,242.88,243.12,232.3,234.73,234.73,182572,0,1
2021-10-01,239.37,244.5,234.85,242.65,242.65,160368,0,1
2021-09-30,240.33,242.555,236.69,237.81,237.81,97744,0,1
2021-09-29,243.33,243.33,237.32,238.41,238.41,82910,0,1
2021-09-28,246.84,250.99,240.37,241.01,241.01,99597,0,1
2021-09-27,242.92,250.0305,242.92,247.74,247.74,113703,0,1
2021-09-24,241.58,244.36,239.98,243.27,243.27,71547,0,1
2021-09-23,244.89,246.63,240.665,242.89,242.89,168896,0,1
2021-09-22,247.68,247.98,242.98,243.38,243.38,98973,0,1
2021-09-21,245.94,246.16,237.46,245.66,245.66,126685,0,1
2021-09-20,238.75,243.35,235.14,242.79,242.79,112169,0,1
2021-09-17,249.22,249.36,242.71,244.35,244.35,130429,0,1
2021-09-16,246.04,248.67,245.22,247.43,247.43,97572,0,1
2021-09-15,242.7,245.69,238.1,245.54,245.54,147075,0,1
2021-09-14,244.98,244.98,239.22,241.04,241.04,121052,0,1
2021-09-13,243.32,246.98,238.14,244.39,244.39,132395,0,1
2021-09-10,241.33,244.56,238.54,241.14,241.14,121843,0,1
2021-09-09,241.33,242.65,235.725,238.86,238.86,133937,0,1
2021-09-08,246.32,246.32,238.53,241.24,241.24,207093,0,1
2021-09-07,248.7,251.0,246.21,246.59,246.59,107846,0,1
2021-09-03,245.25,251.45,244.08,248.79,248.79,138598,0,1
2021-09-02,246.11,248.78,245.07,246.9,246.9,118867,0,1
2021-09-01,241.35,246.65,237.03,244.09,244.09,133529,0,1
2021-08-31,245.83,245.83,239.615,240.13,240.13,194430,0,1
2021-08-30,240.2,245.38,237.19,244.76,244.76,257137,0,1
2021-08-27,233.02,244.655,230.01,240.13,240.13,1175692,0,1
2021-08-26,241.84,243.12,233.175,235.87,235.87,606113,0,1
2021-08-25,238.92,246.99,234.64,240.9,240.9,1044119,0,1
2021-08-24,254.93,255.51,251.78,254.13,254.13,59254,0,1
2021-08-23,249.95,259.13,249.95,254.33,254.33,126832,0,1
2021-08-20,243.57,249.775,239.04,249.11,249.11,145131,0,1
2021-08-19,243.76,246.9,240.815,243.06,243.06,252717,0,1
2021-08-18,244.05,249.83,241.87,246.13,246.13,193835,0,1
2021-08-17,245.0,245.98,238.05,245.27,245.27,299672,0,1
2021-08-16,245.62,247.5344,243.44,246.88,246.88,133866,0,1
2021-08-13,248.34,249.52,244.5338,245.23,245.23,97639,0,1
2021-08-12,250.53,253.0,248.41,248.75,248.75,137884,0,1
2021-08-11,243.78,249.37,242.1,249.33,249.33,151837,0,1
2021-08-10,241.41,247.12,238.94,244.54,244.54,230818,0,1
2021-08-09,238.52,243.1,235.85,241.26,241.26,383557,0,1
2021-08-06,236.97,243.11,236.47,240.79,240.79,332819,0,1
2021-08-05,237.8,239.08,233.63,237.78,237.78,218573,0,1
2021-08-04,234.49,243.2,234.49,238.1415,238.1415,826692,0,1
2021-08-03,223.86,235.78,222.91,235.77,235.77,246939,0,1
2021-08-02,227.66,230.81,219.11,224.0,224.0,262122,0,1
2021-07-30,222.01,227.08,219.9,226.03,226.03,283743,0,1
2021-07-29,210.15,223.58,205.5,221.94,221.94,310132,0,1
2021-07-28,204.52,207.91,201.69,204.66,204.66,210106,0,1
2021-07-27,204.67,207.88,203.12,204.69,204.69,146642,0,1
