timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,77.43,77.9,75.67,77.08,77.08,166741,0,1
2022-01-11,78.5,78.63,76.68,77.5,77.5,169598,0,1
2022-01-10,76.32,78.75,75.03,78.41,78.41,330469,0,1
2022-01-07,79.14,80.22,75.66,77.11,77.11,248582,0,1
2022-01-06,77.975,79.73,75.5624,79.55,79.55,307654,0,1
2022-01-05,78.92,79.21,75.84,76.25,76.25,231107,0,1
2022-01-04,78.7,80.77,78.41,78.81,78.81,228230,0,1
2022-01-03,76.83,80.64,76.83,78.01,78.01,138478,0,1
2021-12-31,78.05,78.25,76.19,76.72,76.72,140337,0,1
2021-12-30,78.34,79.56,77.2,77.59,77.59,174753,0,1
2021-12-29,75.93,78.38,75.8,77.88,77.88,211520,0,1
2021-12-28,78.01,79.29,76.0,76.03,76.03,226304,0,1
2021-12-27,77.48,77.91,76.44,77.62,77.62,141899,0,1
2021-12-23,77.52,77.97,76.6,77.57,77.57,124778,0,1
2021-12-22,76.89,77.68,76.15,76.98,76.98,108674,0,1
2021-12-21,75.74,76.805,75.1001,76.22,76.22,170015,0,1
2021-12-20,74.57,76.28,73.5,75.2,75.2,239586,0,1
2021-12-17,74.51,77.315,74.025,76.17,76.17,290340,0,1
2021-12-16,76.99,77.0,73.0,74.39,74.39,382165,0,1
2021-12-15,75.07,76.405,72.72,76.17,76.17,203153,0,1
2021-12-14,75.11,77.09,74.51,76.03,76.03,228101,0,1
2021-12-13,75.63,76.54,72.89,75.93,75.93,121323,0,1
2021-12-10,77.38,77.9,75.73,76.14,76.14,189261,0,1
2021-12-09,79.11,80.34,76.72,76.86,76.86,111489,0,1
2021-12-08,80.99,81.06,78.66,79.13,79.13,185745,0,1
2021-12-07,82.91,83.81,80.14,80.59,80.59,215909,0,1
2021-12-06,76.56,82.88,76.35,81.44,81.44,241880,0,1
2021-12-03,79.41,79.41,76.17,77.04,77.04,224317,0,1
2021-12-02,76.02,80.345,76.0,79.4,79.4,291354,0,1
2021-12-01,81.84,81.95,76.0,76.08,76.08,448164,0,1
2021-11-30,80.2,81.12,77.27,79.79,79.79,286955,0,1
2021-11-29,82.56,83.0,80.18,81.01,81.01,290670,0,1
2021-11-26,78.99,81.41,78.9226,80.55,80.55,201818,0,1
2021-11-24,80.68,82.95,78.71,81.66,81.66,188591,0,1
2021-11-23,82.31,82.48,79.74,81.88,81.88,244842,0,1
2021-11-22,78.67,82.99,78.28,82.29,82.29,329098,0,1
2021-11-19,78.58,79.24,76.4,77.86,77.86,366999,0,1
2021-11-18,80.45,81.7,79.21,79.97,79.97,135845,0,1
2021-11-17,83.59,83.59,79.47,80.43,80.43,275926,0,1
2021-11-16,81.39,84.19,81.32,83.51,83.51,178014,0,1
2021-11-15,83.2,83.32,81.03,81.54,81.54,219260,0,1
2021-11-12,81.35,83.08,80.58,82.0288,82.0288,201824,0,1
2021-11-11,85.17,85.17,81.26,81.45,81.45,378528,0,1
2021-11-10,87.48,89.04,84.02,84.94,84.94,374249,0,1
2021-11-09,87.63,89.82,87.6,88.96,88.96,222489,0,1
2021-11-08,86.66,88.09,83.44,88.07,88.07,392804,0,1
2021-11-05,92.36,93.73,87.03,87.22,87.22,364654,0,1
2021-11-04,91.88,92.72,90.29,91.09,91.09,295031,0,1
2021-11-03,88.36,92.0,87.56,90.89,90.89,493340,0,1
2021-11-02,90.95,90.95,87.84,88.07,88.07,326937,0,1
2021-11-01,88.61,91.67,86.935,90.44,90.44,403618,0,1
2021-10-29,91.86,92.76,86.89,88.47,88.47,354061,0,1
2021-10-28,95.306,97.94,90.86,91.41,91.41,1088783,0,1
