timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,112.69,114.45,111.96,113.26,113.26,1138461,0,1
2022-01-11,114.79,114.79,108.63,111.74,111.74,2131426,0,1
2022-01-10,110.0,114.58,109.33,114.43,114.43,2346017,0,1
2022-01-07,112.0,112.65,110.0283,110.96,110.96,1335534,0,1
2022-01-06,114.67,115.5,112.02,112.38,112.38,1419046,0,1
2022-01-05,115.97,117.67,114.3,114.7,114.7,2108255,0,1
2022-01-04,113.6,116.5,113.3,116.02,116.02,1382406,0,1
2022-01-03,113.09,114.41,111.58,113.08,113.08,1266495,0,1
2021-12-31,113.69,115.13,112.75,112.98,112.98,658060,0,1
2021-12-30,114.81,115.8786,113.675,113.85,113.85,1349610,0,1
2021-12-29,114.0,116.35,114.1,115.04,115.04,1212020,0,1
2021-12-28,113.82,114.29,113.0,113.85,113.85,645166,0,1
2021-12-27,111.58,113.95,111.51,113.6,113.6,699306,0,1
2021-12-23,110.65,112.19,110.5,111.42,111.42,949607,0,1
2021-12-22,108.36,110.35,107.25,110.31,110.31,1400533,0,1
2021-12-21,107.36,109.28,105.79,109.24,109.24,1803857,0,1
2021-12-20,103.89,105.99,103.15,105.12,105.12,1442878,0,1
2021-12-17,103.94,105.305,102.5401,104.48,104.48,1637093,0,1
2021-12-16,105.43,106.735,103.99,104.58,104.58,1757798,0,1
2021-12-15,102.72,104.7,100.6,104.54,104.54,1331906,0,1
2021-12-14,101.05,102.6183,100.07,102.44,102.44,1431283,0,1
2021-12-13,103.51,103.78,100.75,102.1,102.1,839384,0,1
2021-12-10,103.51,103.98,101.65,103.92,103.92,1051210,0,1
2021-12-09,105.36,106.18,102.83,102.85,102.85,1350765,0,1
2021-12-08,108.84,109.0,104.46,105.7,105.7,1955620,0,1
2021-12-07,105.07,109.39,104.29,108.54,108.54,2223368,0,1
2021-12-06,104.74,105.37,101.6,103.59,103.59,1712484,0,1
2021-12-03,103.28,106.32,103.09,105.44,105.44,2656025,0,1
2021-12-02,103.29,106.11,102.62,105.12,105.12,1760424,0,1
2021-12-01,104.1618,108.45,103.71,103.71,103.71,2842910,0,1
2021-11-30,102.82,104.73,101.642,102.66,102.66,1706458,0,1
2021-11-29,100.82,104.4299,100.61,104.0,104.0,1849277,0,1
2021-11-26,99.22,100.36,98.07,98.61,98.61,1197475,0,1
2021-11-24,101.18,101.74,100.5,101.08,101.08,1201964,0,1
2021-11-23,101.98,103.4699,100.01,101.58,101.58,1901038,0,1
2021-11-22,101.33,103.6899,100.64,101.56,101.56,2254055,0,1
2021-11-19,101.69,102.82,100.65,100.78,100.78,1575880,0,1
2021-11-18,101.43,101.9389,100.25,101.29,101.29,2567729,0,1
2021-11-17,103.67,104.5,100.36,100.89,100.89,2814536,0,1
