timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,162.16,164.5,161.22,163.01,163.01,609244.0,0,1
2022-01-11,155.655,160.86,153.8731,160.55,160.55,981717.0,0,1
2022-01-10,155.8,156.76,150.48,156.7,156.7,1347627.0,0,1
2022-01-07,162.57,163.9432,156.86,158.25,158.25,999782.0,0,1
2022-01-06,159.91,164.705,158.71,163.52,163.52,1205747.0,0,1
2022-01-05,164.2,166.75,160.25,160.25,160.25,1405737.0,0,1
2022-01-04,166.4,167.29,160.425,166.35,166.35,1156765.0,0,1
2022-01-03,164.93,167.14,162.81,166.12,166.12,900794.0,0,1
2021-12-31,164.54,165.85,163.3,163.44,163.44,741519.0,0,1
2021-12-30,166.84,166.84,163.34,163.72,163.72,697434.0,0,1
2021-12-29,164.78,167.44,164.78,166.61,166.61,448577.0,0,1
2021-12-28,168.68,168.91,164.45,164.5,164.5,896565.0,0,1
2021-12-27,164.0,168.91,163.5,168.63,168.63,793614.0,0,1
2021-12-23,161.16,164.1057,161.12,162.73,162.73,666077.0,0,1
2021-12-22,159.5,160.99,158.825,160.92,160.92,510996.0,0,1
2021-12-21,157.59,160.55,156.02,160.52,160.52,1034061.0,0,1
2021-12-20,155.09,158.12,154.9,155.7,155.7,1952961.0,0,1
2021-12-17,157.32,160.75,154.42,156.03,156.03,1762788.0,0,1
2021-12-16,162.35,163.03,156.15,158.3,158.3,1679846.0,0,1
2021-12-15,158.24,162.26,154.3,162.13,162.13,1174719.0,0,1
2021-12-14,154.04,156.31,152.02,155.96,155.96,861076.0,0,1
2021-12-13,159.97,160.62,155.85,156.205,156.205,725530.0,0,1
2021-12-10,159.66,159.94,154.78,159.86,159.86,900716.0,0,1
2021-12-09,158.97,161.54,156.49,156.57,156.57,808843.0,0,1
2021-12-08,159.11,160.65,157.11,160.35,160.35,750708.0,0,1
2021-12-07,156.0,159.88,154.28,159.16,159.16,1233580.0,0,1
2021-12-06,151.31,153.925,144.91,152.62,152.62,1115944.0,0,1
2021-12-03,153.0,155.0,149.07,150.6,150.6,1309191.0,0,1
2021-12-02,150.34,152.35,147.21,151.0,151.0,1301269.0,0,1
2021-12-01,155.76,158.22,152.13,152.31,152.31,1392946.0,0,1
2021-11-30,153.86,154.87,150.76,152.95,152.95,1427760.0,0,1
2021-11-29,148.73,154.87,146.51,154.45,154.45,1474917.0,0,1
2021-11-26,148.35,151.4,145.42,146.35,146.35,649083.0,0,1
2021-11-24,147.89,150.91,146.56,150.89,150.89,826651.0,0,1
2021-11-23,148.56,150.51,145.61,149.11,149.11,722980.0,0,1
2021-11-22,152.08,154.5,149.29,149.29,149.29,928772.0,0,1
2021-11-19,149.95,153.45,149.45,151.28,151.28,618610.0,0,1
2021-11-18,152.57,152.71,149.79,150.97,150.97,826660.0,0,1
2021-11-17,151.29,153.73,150.9,151.61,151.61,1586560.0,0,1
2021-11-16,148.28,151.52,147.57,151.29,151.29,1021068.0,0,1
2021-11-15,148.1,149.95,146.73,148.16,148.16,1173074.0,0,1
2021-11-12,144.01,146.36,142.8,146.28,146.28,823832.0,0,1
2021-11-11,143.5,144.33,141.83,143.19,143.19,531218.0,0,1
2021-11-10,143.17,145.43,141.51,142.02,142.02,973525.0,0,1
2021-11-09,144.9,145.715,143.19,145.42,145.42,696571.0,0,1
2021-11-08,144.78,145.2,142.38,143.94,143.94,843373.0,0,1
2021-11-05,145.22,146.76,142.21,144.24,144.24,1160138.0,0,1
2021-11-04,140.43,144.73,139.22,144.63,144.63,1496077.0,0,1
2021-11-03,140.21,141.69,138.6,140.32,140.32,1054511.0,0,1
2021-11-02,139.26,139.8,137.38,139.38,139.38,1405647.0,0,1
