timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,211.21,213.46,210.1,211.22,211.22,1420656,0,1
2022-01-11,211.5,211.5,208.04,211.32,211.32,1399340,0,1
2022-01-10,217.285,217.225,210.61,211.81,211.81,2075712,0,1
2022-01-07,217.78,219.45,215.18,218.15,218.15,2501208,0,1
2022-01-06,215.06,217.13,213.33,216.57,216.57,1713428,0,1
2022-01-05,216.8,217.975,214.22,214.61,214.61,2100514,0,1
2022-01-04,214.4,218.66,213.6,217.32,217.32,2213760,0,1
2022-01-03,214.98,215.6533,210.87,213.49,213.49,1842185,0,1
2021-12-31,213.14,215.42,211.7401,214.32,214.32,1129923,0,1
2021-12-30,214.72,216.0,213.03,213.91,213.91,1005247,0,1
2021-12-29,214.53,216.34,213.81,214.63,214.63,884937,0,1
2021-12-28,215.0,216.146,213.73,214.69,214.69,1224162,0,1
2021-12-27,212.1,215.61,212.6,215.14,215.14,1535024,0,1
2021-12-23,209.21,213.2176,209.21,212.18,212.18,1816261,0,1
2021-12-22,207.32,208.57,206.54,208.45,208.45,1239247,0,1
2021-12-21,204.26,208.0699,203.71,207.1,207.1,1993073,0,1
2021-12-20,204.75,205.99,201.42,202.51,202.51,2163213,0,1
2021-12-17,211.45,212.53,206.4,206.65,206.65,3316297,0,1
2021-12-16,207.99,211.83,207.82,208.04,208.04,2398221,0,1
2021-12-15,206.65,208.44,204.515,205.78,205.78,2978293,0,1
2021-12-14,205.2,207.149,203.08,203.74,203.74,1309353,0,1
2021-12-13,207.29,209.32,205.62,206.34,206.34,790042,0,1
2021-12-10,207.63,209.86,207.34,209.08,209.08,1468061,0,1
2021-12-09,204.05,207.89,203.755,206.56,206.56,1317916,0,1
2021-12-08,206.02,207.49,203.39,204.75,204.75,1267722,0,1
2021-12-07,204.33,205.89,203.38,205.4,205.4,1746457,0,1
2021-12-06,201.99,204.61,201.38,202.06,202.06,1806819,0,1
2021-12-03,200.59,202.63,197.76,200.73,200.73,2140695,0,1
2021-12-02,195.275,200.63,193.82,200.06,200.06,1868240,0,1
2021-12-01,200.69,202.15,194.0,194.01,194.01,2386426,0,1
2021-11-30,203.48,203.5,198.1009,198.37,198.37,3141828,0,1
2021-11-29,204.16,206.0,201.5,204.62,204.62,2472542,0,1
2021-11-26,206.148,209.53,204.78,205.33,205.33,1684357,0,1
2021-11-24,211.05,212.0,208.26,208.56,208.56,1723188,0,1
2021-11-23,211.03,213.3689,208.52,211.81,211.81,1875014,0,1
2021-11-22,208.42,212.3,207.65,210.88,210.88,1626184,0,1
2021-11-19,207.73,210.67,206.3,208.53,208.53,2320322,0,1
2021-11-18,208.35,208.4699,205.45,207.46,207.46,3615036,0,1
2021-11-17,211.99,212.26,207.49,207.91,207.91,1712389,0,1
2021-11-16,211.58,213.91,211.51,211.84,211.84,1930402,0,1
2021-11-15,213.59,213.4,210.83,211.51,211.51,1104095,0,1
2021-11-12,212.68,215.0762,212.0,213.17,213.17,1365117,0,1
2021-11-11,213.45,216.49,212.28,213.27,213.27,1846759,0,1
2021-11-10,209.07,212.9478,209.45,211.62,211.62,2128426,0,1
2021-11-09,209.49,210.13,208.01,209.97,209.97,1258843,0,1
2021-11-08,208.76,209.885,207.2701,209.34,209.34,1927200,0,1
2021-11-05,211.55,211.71,207.06,208.19,208.19,1877182,0,1
2021-11-04,213.15,213.53,209.81,210.72,210.72,2113122,0,1
2021-11-03,208.8,212.86,207.39,212.75,212.75,1474647,0,1
2021-11-02,210.9,210.9,208.435,209.19,209.19,1746406,0,1
2021-11-01,214.6,214.86,209.9001,210.93,210.93,1571155,0,1
2021-10-29,212.74,216.07,212.25,213.43,213.43,1808023,0,1
2021-10-28,213.29,214.04,210.95,213.86,213.86,1625372,0,1
2021-10-27,217.0,217.48,210.49,212.12,212.12,2915754,0,1
2021-10-26,213.64,220.24,213.66,218.05,218.05,5806727,0,1
2021-10-25,203.86,205.5599,201.84,203.89,203.89,3230650,0,1
2021-10-22,198.87,204.16,198.75,203.86,203.86,3124812,0,1
2021-10-21,195.49,200.0,195.425,199.44,199.44,2636127,0,1
2021-10-20,194.81,195.55,193.2,195.31,195.31,1465888,0,1
2021-10-19,193.75,194.91,193.05,193.86,193.86,1428748,0,1
2021-10-18,193.5,195.61,193.07,193.41,193.41,1629805,0,1
2021-10-15,191.8,194.01,190.71,193.77,193.77,2740564,0,1
2021-10-14,187.27,191.78,187.26,191.42,191.42,3453672,0,1
2021-10-13,182.12,184.93,180.67,184.07,184.07,3211457,0,1
2021-10-12,182.46,182.75,180.63,182.02,182.02,2163908,0,1
2021-10-11,184.3,184.32,181.5334,181.72,181.72,1553987,0,1
2021-10-08,180.79,184.5,179.68,183.5,183.5,2326480,0,1
2021-10-07,182.98,184.02,181.17,181.61,181.61,2214202,0,1
2021-10-06,178.24,181.17,177.83,180.74,180.74,1725769,0,1
2021-10-05,178.48,181.04,177.63,179.7,179.7,2037185,0,1
2021-10-04,181.33,181.697,177.13,178.38,178.38,2764721,0,1
2021-10-01,182.75,182.91,178.831,181.54,181.54,2341674,0,1
2021-09-30,185.19,187.24,182.0,182.0,182.0,2210176,0,1
