timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,169.28,170.36,167.9,168.73,168.73,8589995,0,1
2022-01-11,165.51,168.19,164.3,168.0,168.0,9024156,0,1
2022-01-10,163.46,166.17,161.29,165.97,165.97,15803737,0,1
2022-01-07,167.36,168.16,164.84,165.83,165.83,13399476,0,1
2022-01-06,167.06,169.2,166.47,167.45,167.45,11633429,0,1
2022-01-05,172.65,172.78,168.26,168.28,168.28,11524878,0,1
2022-01-04,175.87,176.0,172.35,173.65,173.65,8086272,0,1
2022-01-03,174.1,175.68,173.34,175.55,175.55,10037675,0,1
2021-12-31,174.51,174.97,173.79,173.89,173.89,4932087,0,1
2021-12-30,175.95,176.54,174.51,174.7,174.7,5144530,0,1
2021-12-29,175.79,176.59,174.97,175.86,175.86,4674492,0,1
2021-12-28,176.98,177.04,175.29,175.75,175.75,5585328,0,1
2021-12-27,173.63,176.69,173.59,176.68,176.68,6423592,0,1
2021-12-23,172.21,173.6299,172.19,172.93,172.93,4796483,0,1
2021-12-22,169.59,172.1,169.08,171.98,171.98,6520900,0,1
2021-12-21,167.38,169.9,165.79,169.7382,169.7382,8155160,0,1
2021-12-20,165.0,166.09,164.36,165.57,165.57,15219162,0,1
2021-12-17,167.08,169.52,166.28,167.83,167.83,20367069,0,1
2021-12-16,174.61,174.87,168.01,168.99,168.99,14984298,0,1
2021-12-15,169.59,174.11,167.98,173.95,173.95,13499524,0,1
2021-12-14,170.25,171.29,167.41,169.46,169.46,13185509,0,1
2021-12-13,175.2,175.58,172.03,172.25,172.25,6851271,0,1
2021-12-10,173.27,175.1,172.73,174.96,174.96,10265777,0,1
2021-12-09,172.88,174.01,171.3,171.44,171.44,8383301,0,1
2021-12-08,172.58,173.43,171.39,173.27,173.27,9999249,0,1
2021-12-07,170.04,172.73,169.9956,172.6,172.6,12833363,0,1
2021-12-06,165.61,167.2,163.89,166.75,166.75,16376729,0,1
2021-12-03,168.39,168.94,163.05,165.11,165.11,23865395,0,1
2021-12-02,164.91,168.71,164.51,167.97,167.97,22680822,0,1
2021-12-01,170.5,171.79,166.26,166.42,166.42,18573858,0,1
2021-11-30,169.53,171.05,167.28,168.72,168.72,25780659,0,1
2021-11-29,168.47,170.595,167.93,170.14,170.14,11901105,0,1
2021-11-26,167.81,169.11,165.33,165.92,165.92,11996061,0,1
2021-11-24,167.99,170.28,167.18,170.23,170.23,8911538,0,1
2021-11-23,168.75,169.55,166.87,169.01,169.01,14257966,0,1
2021-11-22,171.98,174.25,169.3,169.4,169.4,14087561,0,1
2021-11-19,170.68,171.96,170.1105,171.32,171.32,8469473,0,1
2021-11-18,169.36,170.31,168.14,170.05,170.05,8664802,0,1
2021-11-17,168.57,169.45,167.86,168.37,168.37,7567585,0,1
2021-11-16,166.92,169.13,166.84,168.89,168.89,6628451,0,1
2021-11-15,167.94,168.22,166.19,167.15,167.15,6054097,0,1
2021-11-12,165.85,167.585,165.57,167.32,167.32,5939344,0,1
2021-11-11,165.65,165.78,165.03,165.33,165.33,4893143,0,1
2021-11-10,166.0,166.83,164.03,164.48,164.48,11016139,0,1
2021-11-09,168.28,168.41,166.435,167.29,167.29,8221045,0,1
2021-11-08,167.62,168.27,167.23,167.99,167.99,6170114,0,1
2021-11-05,167.44,168.02,166.0409,166.97,166.97,8445675,0,1
2021-11-04,164.28,166.62,163.99,166.27,166.27,12132064,0,1
2021-11-03,162.99,164.0,162.04,163.7,163.7,10980995,0,1
2021-11-02,161.51,163.11,161.51,162.77,162.77,10494142,0,1
2021-11-01,161.53,161.61,160.47,161.42,161.42,9150434,0,1
2021-10-29,159.26,161.63,159.07,161.52,161.52,9322572,0,1
2021-10-28,160.21,160.96,159.91,160.78,160.78,5722118,0,1
2021-10-27,159.65,160.46,159.08,159.19,159.19,7444013,0,1
2021-10-26,160.0,160.67,159.3,159.37,159.37,6150482,0,1
2021-10-25,159.06,159.5001,158.31,158.94,158.94,4746768,0,1
2021-10-22,158.9,159.56,157.75,158.4,158.4,5761851,0,1
2021-10-21,157.87,159.045,157.545,158.93,158.93,4613091,0,1
2021-10-20,158.94,159.17,157.66,158.35,158.35,5668715,0,1
2021-10-19,157.66,158.79,157.33,158.79,158.79,5561691,0,1
2021-10-18,155.04,157.31,154.61,157.23,157.23,5138257,0,1
2021-10-15,155.21,155.94,154.74,155.9,155.9,5917782,0,1
2021-10-14,152.8,154.74,152.58,154.66,154.66,7096105,0,1
2021-10-13,150.98,151.58,150.01,151.27,151.27,9248793,0,1
2021-10-12,151.71,151.9,150.09,150.35,150.35,8430952,0,1
2021-10-11,151.28,153.15,151.015,151.1,151.1,7158949,0,1
2021-10-08,153.12,153.23,151.71,151.96,151.96,8647156,0,1
2021-10-07,152.44,153.71,152.25,152.54,152.54,8317063,0,1
2021-10-06,148.44,151.26,147.945,151.1,151.1,16854944,0,1
2021-10-05,148.33,151.025,148.22,150.08,150.08,13978550,0,1
2021-10-04,150.7,150.875,146.88,148.01,148.01,21786653,0,1
2021-10-01,149.88,151.9,148.34,151.5,151.5,19261200,0,1
2021-09-30,151.28,151.93,149.25,149.3,149.3,15904390,0,1
2021-09-29,151.17,152.0,150.14,150.4,150.4,12040733,0,1
2021-09-28,153.16,153.55,150.47,150.6,150.6,18506511,0,1
2021-09-27,155.39,155.75,154.19,155.19,155.19,7333764,0,1
2021-09-24,155.65,156.97,155.58,156.73,156.73,5645138,0,1
2021-09-23,155.33,156.97,154.85,156.59,156.59,9478538,0,1
2021-09-22,153.27,155.13,152.59,154.54,154.54,13416311,0,1
2021-09-21,153.31,153.685,151.85,152.42,152.42,8801234,0,1
2021-09-20,152.88,153.71,150.345,152.39,152.39,16344810,0,1
2021-09-17,157.68,157.68,155.25,155.48,155.48,10893560,0,1
2021-09-16,157.29,158.1,156.315,157.95,157.95,7950445,0,1
2021-09-15,157.03,157.975,156.13,157.86,157.86,8003007,0,1
2021-09-14,157.37,157.67,156.06,156.47,156.47,9017018,0,1
2021-09-13,157.82,158.23,155.65,156.68,156.68,11047523,0,1
2021-09-10,159.04,159.46,156.4741,156.63,156.63,7444712,0,1
2021-09-09,158.95,159.45,158.06,158.16,158.16,5227495,0,1
2021-09-08,159.37,159.43,157.66,158.8,158.8,5472137,0,1
2021-09-07,159.55,159.74,158.645,159.44,159.44,8517868,0,1
2021-09-03,158.54,159.78,158.49,159.4,159.4,9219323,0,1
2021-09-02,159.49,159.7,158.09,158.79,158.79,9342170,0,1
2021-09-01,159.41,160.13,158.77,158.9,158.9,8723637,0,1
2021-08-31,159.8,159.85,158.56,158.85,158.85,10293655,0,1
2021-08-30,158.47,159.885,158.46,159.7,159.7,4906975,0,1
2021-08-27,156.6,158.11,156.36,157.99,157.99,6478896,0,1
2021-08-26,157.3,157.61,156.36,156.49,156.49,5820079,0,1
